cohort,category,construct,file,variable,notes
MCS,id_wave,MCSID,data_MCS/mcs6_cm_interview.sav,MCSID,Family identifier used throughout analytic joins
MCS,id_wave,wave,,age11/age14/age17/age23,Wave labels assigned in pipeline
MCS,covariate,sex_age14,data_MCS/mcs6_cm_interview.sav,FCCSEX00,Sex at age 14 baseline
MCS,covariate,age_age14,data_MCS/mcs6_cm_interview.sav,FCCAGE00,Age at age 14 sweep
MCS,covariate,pttype2_age14_stratum,data_MCS/mcs_longitudinal_family_file.sav,PTTYPE2,Age-14 PTTYPE2 sampling stratum used as a sociodemographic covariate
MCS,covariate,oecd_income_quintile_age14,data_MCS/mcs6_family_derived.sav,FOECDUK0,OECD equivalised income quintile at age 14
MCS,covariate,mcs_design_stratum,data_MCS/mcs_longitudinal_family_file.sav,PTTYPE2,Survey stratum for design-based inference
MCS,covariate,mcs_design_psu,data_MCS/mcs_longitudinal_family_file.sav,SPTN00,Fieldwork point / PSU for design-based inference
MCS,covariate,mcs6_weight_uk,data_MCS/mcs_longitudinal_family_file.sav,FOVWT2,MCS6 whole-UK weight used when age 14 is the exposure wave
MCS,covariate,mcs7_weight_uk,data_MCS/mcs_longitudinal_family_file.sav,GOVWT2,MCS7 whole-UK weight used when age 17 is the exposure wave
MCS,covariate,ancestry_pc1,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc1,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc2,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc2,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc3,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc3,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc4,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc4,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc5,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc5,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc6,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc6,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc7,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc7,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc8,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc8,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc9,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc9,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc10,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc10,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc11,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc11,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc12,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc12,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc13,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc13,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc14,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc14,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc15,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc15,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc16,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc16,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc17,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc17,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc18,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc18,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc19,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc19,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,covariate,ancestry_pc20,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,pc20,Genetic ancestry principal component used as a covariate in genetic-score models
MCS,outcome,age11_internalising_proxy,data_MCS/mcs5_cm_derived.sav,EEMOTION + EPEER,Parent-reported internalising proxy at age 11
MCS,outcome,age14_internalising_proxy,data_MCS/mcs6_cm_derived.sav,FEMOTION + FPEER,Parent-reported internalising proxy at age 14
MCS,outcome,age17_psychological_distress,data_MCS/mcs7_cm_derived.sav,GDCKESSL,Age 17 standalone psychological distress outcome
MCS,outcome,age17_wellbeing,data_MCS/mcs7_cm_derived.sav,GDWEMWBS,Age 17 standalone wellbeing outcome retained separately
MCS,outcome,age14_mfq_depressive_symptoms,data_MCS/mcs6_cm_interview.sav,sum(FCMDSA00:FCMDSM00),Age 14 short Mood and Feelings Questionnaire depressive-symptom sum
MCS,outcome,age23_psychological_distress,data_MCS/mcs8_23y_cm_derived.sav,HDKESSLER6,Age 23 standalone psychological distress outcome
MCS,outcome,age23_anxiety,data_MCS/mcs8_23y_cm_derived.sav,HDGAD2,Age 23 standalone anxiety outcome
MCS,outcome,age23_depression,data_MCS/mcs8_23y_cm_derived.sav,HDPHQ2,Age 23 standalone depression outcome
MCS,outcome,age23_loneliness,data_MCS/mcs8_23y_cm_derived.sav,HDLONELINESS,Age 23 standalone loneliness outcome
MCS,outcome,age23_wellbeing,data_MCS/mcs8_23y_cm_derived.sav,HDWEMWB,Age 23 standalone wellbeing outcome
MCS,field_like,school_happiness_age14,data_MCS/mcs6_cm_interview.sav,FCSCHL00,Positive school wellbeing
MCS,field_like,schoolwork_happiness_age14,data_MCS/mcs6_cm_interview.sav,FCSCWK00,Positive schoolwork wellbeing
MCS,field_like,friends_happiness_age14,data_MCS/mcs6_cm_interview.sav,FCFRNS00,Positive friend wellbeing
MCS,field_like,try_best_at_school_age14,data_MCS/mcs6_cm_interview.sav,FCSCBE00,Engagement/effort
MCS,field_like,school_interest_age14,data_MCS/mcs6_cm_interview.sav,FCSINT00,School engagement
MCS,field_like,reverse_school_waste_age14,data_MCS/mcs6_cm_interview.sav,FCSCWA00,Reverse-scored disengagement
MCS,precision_like,quality_of_decision_age14,data_MCS/mcs6_cm_derived.sav,FCGTQOFDM,Primary executive-control proxy used in the main models
MCS,precision_sensitivity,delay_aversion_age14,data_MCS/mcs6_cm_derived.sav,FCGTDELAY,Alternative precision proxy sensitivity
MCS,precision_sensitivity,word_activity_score_age14,data_MCS/mcs6_cm_cognitive_assessment.sav,FCWRDSC,Alternative precision proxy sensitivity
MCS,context,family_conflict_age14,data_MCS/mcs6_cm_interview.sav,FCQUAM00 + FCQUAF00,Parent conflict composite
MCS,context,sleep_latency_age14,data_MCS/mcs6_cm_interview.sav,FCSLLN00,Sleep problem proxy
MCS,context,peer_school_trouble_age14,data_MCS/mcs6_cm_interview.sav,FCPETR00,Peer school trouble proxy
MCS,context,social_support_age14,data_MCS/mcs6_cm_interview.sav,FCSAFF00,Social support
MCS,prs,depression_prs,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_depression_p1_v1,Exploratory genetic-score moderator; reverse-scored because lower raw values indicate higher depression liability in the CLS release.
MCS,prs,mdd_prs,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_mdd_p1_v1,Exploratory genetic-score moderator for major depressive disorder liability.
MCS,prs,anxiety_prs,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_anxiety_p1_v1,Exploratory genetic-score moderator
MCS,prs,adhd_prs,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_adhd_p1_v1,Exploratory genetic-score moderator
MCS,prs,externalising_prs,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_externalising_p5e08_v1,Exploratory genetic-score moderator
MCS,prs,cognition_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_cognition_p1_v1,Exploratory genetic-score moderator
MCS,prs,asd_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_asd_p1_v1,Exploratory genetic-score moderator
MCS,prs,agreeableness_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_agreeableness_p1_v1,Exploratory genetic-score moderator
MCS,prs,conscientiousness_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_consc_p1_v1,Exploratory genetic-score moderator
MCS,prs,extraversion_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_extraversion_p1_v1,Exploratory genetic-score moderator
MCS,prs,neuroticism_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_neuroticism_p1_v1,Exploratory genetic-score moderator
MCS,prs,openness_pgi,data_MCS/cls_mcs_pgi_final_v1_1_mcsid.sav,mcs_openness_p1_v1,Exploratory genetic-score moderator
