outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.2567246944519958,0.02424131708658396,,abcd_sleep_risk,(Intercept),-0.11624168868270592,0.07167500294351524,-1.6217884047289435,0.1049140528618505
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.5681323123593847,0.6130203338370921,0.5905763230982384,abcd_sleep_risk,baseline_internalising_z,0.5905763230982384,0.011451025887170238,51.57409728327676,0
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.028438000666989375,0.015549402868918902,-0.006444298899035235,abcd_sleep_risk,baseline_age_z,-0.006444298899035235,0.011221276412221499,-0.5742928578086283,0.5657964352473474
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.1275427015909608,0.17033229487162718,0.14893749823129399,abcd_sleep_risk,sex_z,0.14893749823129399,0.010915712571598565,13.644322095729446,1.282736165176243e-41
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0422008893548523,0.017283725596650396,-0.01245858187910095,abcd_sleep_risk,household_income_z,-0.01245858187910095,0.015174646671301709,-0.8210129796736961,0.4116794701441089
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.005757742171340435,0.04284022527841293,0.018541241553536248,abcd_sleep_risk,parent_education_z,0.018541241553536248,0.012397440675957492,1.4955700969389194,0.13483117481861004
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.06050529207411577,0.008017282168322228,-0.026244004952896773,abcd_sleep_risk,neighborhood_risk_z,-0.026244004952896773,0.017480248531234185,-1.5013519347853246,0.13333004811567406
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.01933754699254675,0.3523784585712597,0.18585800278190323,abcd_sleep_risk,site2,0.18585800278190323,0.08495941621905943,2.1876092263003173,0.02874593870778739
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.204897543369064,0.1539288576845351,-0.02548434284226445,abcd_sleep_risk,site3,-0.02548434284226445,0.09153734720755079,-0.2784037731012843,0.7807143632202213
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.09303067556948169,0.23826844964760324,0.07261888703906078,abcd_sleep_risk,site4,0.07261888703906078,0.08451508296354207,0.8592417411503571,0.3902498798851003
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.13601757739243403,0.2159767077958354,0.039979565201700665,abcd_sleep_risk,site5,0.039979565201700665,0.08979446050721158,0.4452342046031873,0.6561705005636436
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.03580958394663128,0.29329609448589233,0.1287432552696305,abcd_sleep_risk,site6,0.1287432552696305,0.08395553021237846,1.5334696230725313,0.12522580276425915
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.08126517184629982,0.31224330436128067,0.11548906625749043,abcd_sleep_risk,site7,0.11548906625749043,0.10038481535907666,1.1504635023174157,0.25001007909043044
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0369816728441372,0.3555319374770398,0.1592751323164513,abcd_sleep_risk,site8,0.1592751323164513,0.10013102304111658,1.5906671826477643,0.11175006254380537
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.23427975974805568,0.18000787433946494,-0.027135942704295365,abcd_sleep_risk,site9,-0.027135942704295365,0.10568562094069403,-0.2567609714809058,0.7973742569213447
