variable,missing_fraction,cohort
mh_y_cb_001a__01__01,0.9573370978527379,ABCD
mh_y_cb_001a__01,0.9286128241325508,ABCD
cyberbullied_12m,0.9286128241325508,ABCD
peer_adversity,0.9286128241325508,ABCD
family_context,0.8591277212274314,ABCD
fc_y_fes__cohes_mean,0.8591128612824133,ABCD
family_cohesion,0.8591128612824133,ABCD
ab_p_demo__edu__slf_001__v01,0.8337320751913218,ABCD
hispanic_ethnicity,0.8241176907645442,ABCD
ab_p_demo__race_001___10,0.8240731109294895,ABCD
ab_p_demo__race_001___11,0.8240731109294895,ABCD
ab_p_demo__race_001___12,0.8240731109294895,ABCD
ab_p_demo__race_001___13,0.8240731109294895,ABCD
ab_p_demo__race_001___14,0.8240731109294895,ABCD
ab_p_demo__race_001___15,0.8240731109294895,ABCD
ab_p_demo__race_001___16,0.8240731109294895,ABCD
ab_p_demo__race_001___17,0.8240731109294895,ABCD
ab_p_demo__race_001___18,0.8240731109294895,ABCD
ab_p_demo__race_001___19,0.8240731109294895,ABCD
ab_p_demo__race_001___20,0.8240731109294895,ABCD
ab_p_demo__race_001___21,0.8240731109294895,ABCD
ab_p_demo__race_001___22,0.8240731109294895,ABCD
ab_p_demo__race_001___23,0.8240731109294895,ABCD
ab_p_demo__race_001___24,0.8240731109294895,ABCD
ab_p_demo__race_001___25,0.8240731109294895,ABCD
race_white,0.8240731109294895,ABCD
race_black,0.8240731109294895,ABCD
race_aian,0.8240731109294895,ABCD
race_asian_indian,0.8240731109294895,ABCD
race_asian_chinese,0.8240731109294895,ABCD
race_asian_filipino,0.8240731109294895,ABCD
race_asian_japanese,0.8240731109294895,ABCD
race_asian_korean,0.8240731109294895,ABCD
race_asian_vietnamese,0.8240731109294895,ABCD
race_asian_other,0.8240731109294895,ABCD
race_other,0.8240731109294895,ABCD
ab_p_demo__ethn_001,0.8238799316442529,ABCD
ab_p_demo__income__hhold_001,0.8237313321940709,ABCD
ab_p_demo__edu__slf_001,0.8237313321940709,ABCD
ab_p_demo__ethn__slf_001,0.8237313321940709,ABCD
nc_y_nihtb__comp__fluid__fullcorr_tscore,0.8006686975258192,ABCD
nihtb_fluid,0.8006686975258192,ABCD
nc_y_nihtb__crdst__fullcorr_tscore,0.7889887807415112,ABCD
nihtb_cardsort,0.7889887807415112,ABCD
precision_cardsort_index,0.7889887807415112,ABCD
nc_p_bdefs_sum,0.7784827996136414,ABCD
bdefs_total,0.7784827996136414,ABCD
reverse_bdefs_total,0.7784827996136414,ABCD
nc_y_nihtb__lswmt__fullcor_tscore,0.65376328107586,ABCD
nihtb_workmem,0.65376328107586,ABCD
precision_workmem_index,0.65376328107586,ABCD
nc_y_nihtb__comp__cryst__fullcorr_tscore,0.6400624117690764,ABCD
nihtb_crystallized,0.6400624117690764,ABCD
precision_crystallized_index,0.6400624117690764,ABCD
mh_y_pai_sum,0.5868935284939446,ABCD
positive_affect_sum,0.5868935284939446,ABCD
nc_y_nihtb__pttcp__fullcor_tscore,0.5667434430492607,ABCD
nihtb_processing_speed,0.5667434430492607,ABCD
precision_processing_speed_index,0.5667434430492607,ABCD
nc_y_nihtb__flnkr__fullcor_tscore,0.5654803477227134,ABCD
nihtb_flanker,0.5654803477227134,ABCD
precision_index,0.5654803477227134,ABCD
mh_y_pai_age,0.5537707110483692,ABCD
mh_y_pai_001,0.5537707110483692,ABCD
mh_y_pai_002,0.5537707110483692,ABCD
mh_y_pai_003,0.5537707110483692,ABCD
mh_y_pai_004,0.5537707110483692,ABCD
mh_y_pai_005,0.5537707110483692,ABCD
mh_y_pai_006,0.5537707110483692,ABCD
mh_y_pai_007,0.5537707110483692,ABCD
mh_y_pai_008,0.5537707110483692,ABCD
mh_y_pai_009,0.5537707110483692,ABCD
depression_impair_case,0.4571513485400104,ABCD
mh_y_bisbas__bas__dr_sum,0.44816108180399733,ABCD
mh_y_bisbas__bas__fs_sum,0.44816108180399733,ABCD
mh_y_bisbas__bas__rr_sum,0.44816108180399733,ABCD
mh_y_bisbas__bas__rr_sum__v01,0.44816108180399733,ABCD
mh_y_bisbas__bis_sum,0.44816108180399733,ABCD
bas_drive,0.44816108180399733,ABCD
bas_fun,0.44816108180399733,ABCD
bas_reward,0.44816108180399733,ABCD
mh_y_bisbas_age,0.4481462218589791,ABCD
mh_y_bisbas__bis_sum__v01,0.4481462218589791,ABCD
ph_y_mctq__sleep_dur,0.34561260123337545,ABCD
sleep_duration,0.34561260123337545,ABCD
sleep_risk,0.34561260123337545,ABCD
ph_y_mctq__socjl_absl,0.34437922579686453,ABCD
social_jetlag,0.34437922579686453,ABCD
mh_y_cb_001a,0.3441711865666097,ABCD
ab_p_demo__edu__slf_001__v02,0.34302697080020805,ABCD
mh_y_bpm__attn_tscore,0.2800802437030983,ABCD
bpm_attention_t,0.2800802437030983,ABCD
bpm_attention_z,0.2800802437030983,ABCD
mh_y_bpm__int_tscore,0.2605839958392154,ABCD
bpm_internalising_t,0.2605839958392154,ABCD
bpm_internalising_z,0.2605839958392154,ABCD
mh_y_bpm_age,0.2333754365108849,ABCD
ab_p_demo__income__hhold_001__v01,0.17638754736607473,ABCD
mh_p_cbcl__dsm__dep_tscore,0.14552344156326621,ABCD
depressive_t,0.14552344156326621,ABCD
fc_y_srpf__env_mean,0.13003937885429823,ABCD
school_env,0.13003937885429823,ABCD
household_income,0.08143249869975482,ABCD
fc_y_srpf__involv_mean,0.07542908091240062,ABCD
school_involvement,0.07542908091240062,ABCD
le_l_adi__addr1__national_prcnt,0.06893528493944573,ABCD
neighborhood_adi,0.06893528493944573,ABCD
neighborhood_risk,0.06893528493944573,ABCD
mh_y_ksads__dep__impfunct__pres_sx,0.0190504495133368,ABCD
depression_impair_raw,0.0190504495133368,ABCD
ethnicity_5cat,0.003967605319860316,ABCD
parent_education,0.0026599301582584146,ABCD
fc_y_fes__confl_mean,0.0015602942269113604,ABCD
family_conflict,0.0015602942269113604,ABCD
fc_y_srpf__dis_mean,0.001545434281893157,ABCD
school_disengagement,0.001545434281893157,ABCD
reverse_school_disengagement,0.001545434281893157,ABCD
field_index,0.0015305743368749535,ABCD
fc_y_srpf_age,0.0015157143918567502,ABCD
mh_p_cbcl__strs_sum,1.4859945018203433e-4,ABCD
cbcl_stress_sum,1.4859945018203433e-4,ABCD
mh_p_cbcl__synd__int_tscore,1.0401961512742402e-4,ABCD
internalising_t,1.0401961512742402e-4,ABCD
internalising_z,1.0401961512742402e-4,ABCD
mh_p_cbcl__synd__wthdep_tscore,8.91596701092206e-5,ABCD
mh_p_cbcl__synd__attn_tscore,8.91596701092206e-5,ABCD
withdrawn_t,8.91596701092206e-5,ABCD
withdrawn_z,8.91596701092206e-5,ABCD
participant_id,0,ABCD
session_id,0,ABCD
mh_p_cbcl_age,0,ABCD
ab_g_stc__cohort_sex,0,ABCD
ab_g_stc__design_id__fam,0,ABCD
ab_g_dyn__design_site,0,ABCD
wave_year,0,ABCD
age,0,ABCD
sex,0,ABCD
family_id,0,ABCD
site,0,ABCD
race_total_count,0,ABCD
race_asian_count,0,ABCD
