outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 parent-reported internalising,-0.26739867240347504,0.016033554627458785,,base,(Intercept),-0.12568255888800814,0.07230413954870761,-1.7382484553784394,0.0822308902138826,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.5759813719428885,0.6206034858007011,0.5982924288717948,base,baseline_internalising_z,0.5982924288717948,0.011383192310666479,52.55928324352144,0,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.01546664055995593,0.02753835210661018,0.006035855773327126,base,baseline_age_z,0.006035855773327126,0.010970661394532172,0.5501815757740389,0.5822203279390405,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.1220660833484234,0.16477076572782634,0.14341842453812487,base,sex_z,0.14341842453812487,0.010894051627398708,13.164837972442257,6.515598013406074e-39,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.047423919198743655,0.011724439406122875,-0.01784973989631039,base,household_income_z,-0.01784973989631039,0.01508886699103738,-1.1829741694265672,0.23687771845254227,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.007312533380185098,0.04132249865434501,0.017004982637079953,base,parent_education_z,0.017004982637079953,0.012406895927176047,1.3706073410217188,0.17056120266858085,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.05491702936482419,0.013266008987017904,-0.020825510188903145,base,neighborhood_risk_z,-0.020825510188903145,0.01739363223261278,-1.1973065723360328,0.23124595083592273,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.01378087558181637,0.3516775620235535,0.18272921880268495,base,site2,0.18272921880268495,0.08619813429636151,2.1198744067294513,0.034067591561944756,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.19208799924245398,0.17064799208372625,-0.010720003579363858,base,site3,-0.010720003579363858,0.09253469166484189,-0.11584848219078112,0.9077774509303186,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.0898204487143846,0.24391509251255267,0.07704732189908403,base,site4,0.07704732189908403,0.08513661765993298,0.9049845297688407,0.36551880523735114,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.12578713456677648,0.2278522247019647,0.05103254506759411,base,site5,0.05103254506759411,0.09021412226243397,0.5656824429232911,0.5716359986142345,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.031391512038360075,0.29931319384082733,0.1339608409012336,base,site6,0.1339608409012336,0.08436344537734372,1.587901493378429,0.1123741926910531,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.07202045184437653,0.3254183293753016,0.12669893876546254,base,site7,0.12669893876546254,0.1013874441886934,1.2496511750474901,0.2114876627570098,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.04903413230950285,0.3474661500035868,0.14921600884704198,base,site8,0.14921600884704198,0.10114803120231879,1.475224056003388,0.14021761812478248,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.23395132916670824,0.18363115248564293,-0.02516008834053266,base,site9,-0.02516008834053266,0.10652614327866101,-0.2361869825204932,0.8132976136694335,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03131203298662655,0.28760905362091005,0.12814851031714175,base,site10,0.12814851031714175,0.08135742005294301,1.5751299664339113,0.11529206353374728,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.009356580685695282,0.46596700069433317,0.23766179069001422,base,site11,0.23766179069001422,0.11648225000220354,2.0403262358472496,0.04137222120020303,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.032710107146520784,0.312162252278675,0.1397260725660771,base,site12,0.1397260725660771,0.08797764271050913,1.5881997773666936,0.11230674727589988,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.06408906214420942,0.40912667333720676,0.2366078677407081,base,site13,0.2366078677407081,0.08801979877372382,2.688120980019119,0.007210230680118762,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.023246825367299107,0.3153139759662392,0.14603357529947006,base,site14,0.14603357529947006,0.08636755136059651,1.6908384340984686,0.09093230397416298,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.11484125247178353,0.26541848706324456,0.07528861729573053,base,site15,0.07528861729573053,0.09700503559567045,0.7761310207600277,0.4377097025274428,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.012154701974717408,0.30977479945152264,0.14881004873840262,base,site16,0.14881004873840262,0.08212487281281634,1.811997311430593,0.07004880261892152,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.002793165085192839,0.337767904293392,0.1702805346892924,base,site17,0.1702805346892924,0.08545273959392835,1.9926866651492505,0.046352054573810614,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.07241392637791871,0.4303893186825665,0.2514016225302426,base,site18,0.2514016225302426,0.09132025313894077,2.7529667723078175,0.005927900994472069,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.1014474879496045,0.2370395215118261,0.06779601678111082,base,site19,0.06779601678111082,0.08634872690342618,0.7851420537668723,0.43240886653442945,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.0024143711628415443,0.3384469867598739,0.17043067896135772,base,site20,0.17043067896135772,0.085722606019651107,1.9881649295903123,0.0468499130340237,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.060017735159837035,0.2746506554809903,0.10731646016057665,base,site21,0.10731646016057665,0.08537458944919066,1.257007042176693,0.20881198039894264,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.2633946549648418,0.018026184560789207,,field,(Intercept),-0.1226842352020263,0.07179103049123241,-1.7089075663429751,0.08753243575466871,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.5695825594510926,0.6144941150281755,0.5920383372396341,field,baseline_internalising_z,0.5920383372396341,0.011457029483949723,51.674680428205846,0,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.022621066678286693,0.02073377188365888,-9.436473973139068e-4,field,baseline_age_z,-9.436473973139068e-4,0.011059907796414687,-0.08532145246453238,0.9320093800198759,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.1275130101742535,0.17026323095058618,0.14888812056241985,field,sex_z,0.14888812056241985,0.01090566856539099,13.652360666352408,1.1535023461903565e-41,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.047409908029531364,0.011729430386979954,-0.017840238821275705,field,household_income_z,-0.017840238821275705,0.015086565922579419,-1.1825248312192096,0.23705583549039477,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.00711806853092474,0.0415826755794979,0.01723230352428658,field,parent_education_z,0.01723230352428658,0.01242365921184251,1.3870553941032415,0.16548899406264989,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.057307681665812835,0.010773906612962254,-0.02326688752642529,field,neighborhood_risk_z,-0.02326688752642529,0.01736775211193242,-1.3396602724678401,0.18041896352738956,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.017574027411612153,0.3524909997307467,0.18503251357117942,field,site2,0.18503251357117942,0.08543800314263636,2.165693330428999,0.030383503801344913,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
