outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.2642136497908063,0.016706488678319587,,combined,(Intercept),-0.12375358055624336,0.07166330062987905,-1.726875255095995,0.08425409894154239
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,0.5697600567825581,0.6146964308480581,0.5922282438153081,combined,baseline_internalising_z,0.5922282438153081,0.011463360730994887,51.662706750039575,0
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.02457323058275692,0.018866094952490628,-0.002853567815133147,combined,baseline_age_z,-0.002853567815133147,0.011081460595726416,-0.25750827614129046,0.7967974129139292
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,0.12757364844260846,0.17028804181971227,0.14893084513116037,combined,sex_z,0.14893084513116037,0.01089652892273057,13.667732741982174,9.406835176076291e-42
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.039766614008239366,0.017579149746190202,-0.011093732131024582,combined,household_income_z,-0.011093732131024582,0.01462902136592591,-0.7583372703839393,0.4482861544251511
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.05754386925584716,0.010244003378512546,-0.023649932938667306,combined,neighborhood_risk_z,-0.023649932938667306,0.017292824651622372,-1.3676153789281917,0.17149622306767856
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,0.020673608434657043,0.35454675837949085,0.18761018340707394,combined,site2,0.18761018340707394,0.0851717219247025,2.2027285484838957,0.027661019767029026
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.19693034340216772,0.16262909015254848,-0.017150626624809626,combined,site3,-0.017150626624809626,0.09172434529457046,-0.18698009312283248,0.8516841057085404
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.08797481326951918,0.24305156036901593,0.07753837354974837,combined,site4,0.07753837354974837,0.08444550347921814,0.918206066103098,0.3585569083862107
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.12478595007841455,0.22715933513207176,0.0511866925268286,combined,site5,0.0511866925268286,0.08978196051287916,0.5701222409760801,0.5686213472444581
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.03745477460868188,0.2916762476906153,0.1271107365409667,combined,site6,0.1271107365409667,0.08396199548451458,1.5139079985826467,0.13011470070406395
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.07892548643465092,0.3152821089326039,0.11817831124897649,combined,site7,0.11817831124897649,0.10056316208348337,1.1751650286301634,0.23998671017510043
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.03767750816447188,0.3551191482816022,0.15872082005856514,combined,site8,0.15872082005856514,0.10020322868522297,1.583989080403472,0.11326176734441737
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.23060075520321688,0.1848675513010365,-0.022866601951090207,combined,site9,-0.022866601951090207,0.10598681288373811,-0.2157495006116813,0.8291921371532036
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.03748148778921201,0.2788019058636575,0.12066020903722274,combined,site10,0.12066020903722274,0.08068453919716059,1.4954563815798425,0.13486080184736476
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.014692739822816658,0.44015591895904493,0.21273158956811414,combined,site11,0.21273158956811414,0.11603282111782183,1.833374277370216,0.06680852589432636
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.03684561025655958,0.30561051191421873,0.13438245082882957,combined,site12,0.13438245082882957,0.0873612556558108,1.5382385454517125,0.12405589878184912
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,0.0680971459256132,0.4106137174695814,0.2393554316975973,combined,site13,0.2393554316975973,0.0873766764142776,2.7393515240010426,0.006178683221588984
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.010741874683424107,0.32557632574483064,0.15741722553070328,combined,site14,0.15741722553070328,0.08579545929292214,1.834796699359703,0.06659737432622857
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.13172762882276945,0.2461583462356588,0.05721535870644467,combined,site15,0.05721535870644467,0.09639948343327251,0.5935234989723674,0.5528586939963134
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,-0.0016883737026958112,0.31780682559467155,0.15805922594598787,combined,site16,0.15805922594598787,0.08150387737177739,1.939284743779804,0.052524921300456315
Age 15 parent-reported internalising,5676,Complete-case (no parent education); family-cluster-robust standard errors,0.00922372761497639,0.34249921884697987,0.17586147323097812,combined,site17,0.17586147323097812,0.08501925796734781,2.068489862596999,0.038647157039824
