sample,characteristic,summary
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),Cohort members (N),"5,674"
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Age at baseline, mean (SD)",11.99 (0.65)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Female, n (%)","2,992 (52.7%)"
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Household income, mean (SD)",7.65 (2.19)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Parent education, mean (SD)",18.17 (3.06)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Area deprivation index percentile, mean (SD)",38.89 (25.91)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Baseline internalising, mean (SD)",47.71 (10.33)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Race/ethnicity: White, n (%)","3,334 (58.9%)"
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Race/ethnicity: Black, n (%)",640 (11.3%)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Race/ethnicity: Hispanic/Latino, n (%)","1,024 (18.1%)"
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Race/ethnicity: Asian, n (%)",114 (2.0%)
ABCD primary complete-case sample (`ses-02A` to `ses-05A`),"Race/ethnicity: Other/Multiracial, n (%)",546 (9.7%)
