outcome,model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,std_estimate,nobs,missingness_handling
Age 15 parent-reported internalising,combined_fiml,baseline_internalising_z,0.602086094925758,0.009104251146100016,66.13241278868645,0,0.5842420905731945,0.6199300992783215,0.602086094925758,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,baseline_age_z,0.001789924137466296,0.008889434511345813,0.20135410584123994,0.8404216984436321,-0.015633047347698905,0.0192128956226315,0.001789924137466296,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,sex_z,0.13060803451997904,0.008840496455545068,14.773834837980973,0,0.11328097986165671,0.14793508917830137,0.13060803451997904,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,household_income_z,-0.011549056625685589,0.012781129120974297,-0.9036022182682724,0.36620636462200484,-0.036599609384551285,0.013501496133180108,-0.011549056625685589,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,parent_education_z,0.014904017849191622,0.010325702974610938,1.4433901387477388,0.14891060043480597,-0.005333988096103914,0.03514202379448716,0.014904017849191622,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,neighborhood_risk_z,-0.022078710525887297,0.014138764670526386,-1.5615728134942717,0.11838865816710387,-0.04979018006600633,0.005632759014231738,-0.022078710525887297,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,field_index,-0.057861296258623365,0.011419261371161692,-5.066991145744927,4.041530743403854e-7,-0.08024263727614975,-0.03547995524109698,-0.057861296258623365,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,precision_index,-0.026977352276217836,0.00986056557993233,-2.735882851498968,0.006221316960595358,-0.046303705680080506,-0.007650998872355163,-0.026977352276217836,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site10,0.04287112830446835,0.06587231741218294,0.6508216195918959,0.5151616425259613,-0.08623624140160088,0.17197849801053758,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site11,0.14627407165014622,0.09572817459923844,1.5280148426784053,0.1265088528038012,-0.0413497028701231,0.3338978461704155,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site12,0.007834048834290099,0.06850394240198927,0.11435909466814288,0.9089531389312924,-0.12643121107261512,0.1420993087411953,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site13,0.12004273289389933,0.07009129762315909,1.7126624411963465,0.08677465866023026,-0.01733368607717034,0.257419151864969,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site14,0.04764049039328922,0.07114643529336889,0.6696117689782483,0.5031053096646256,-0.09180396041012318,0.1870849411967016,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site15,-0.022188721049299535,0.07739768295879987,-0.28668456471895903,0.7743538572955928,-0.17388539213539672,0.12950795003679766,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site16,0.07846548678816695,0.06719811658487371,1.1676738988519437,0.24293832905514323,-0.053240401547109184,0.21017137512344308,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site17,0.15262492804461805,0.07066587910472827,2.1598107881517303,0.030787320152973807,0.014122350063489109,0.291127506025747,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site18,0.21481124118624095,0.07434386374775932,2.8894279952286612,0.003859433838737214,0.06909994576907974,0.36052253660340217,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site19,-0.06523448746294641,0.06811196838238055,-0.9577536666789607,0.33818698800367253,-0.19873149240854315,0.06826251748265033,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site2,0.050522973168718927,0.07052311337937321,0.7164030450121338,0.47374251526885325,-0.08769978913248735,0.1887457354699252,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site20,0.06921498484084132,0.0706299861128953,0.9799659981556242,0.3271029028907979,-0.0692172441689976,0.20764721385068025,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site21,0.003344210887695005,0.06919861658905975,0.048327713074884246,0.9614550685127985,-0.13228258540685797,0.138971007182248,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site3,-0.10382314601467613,0.07236887455728178,-1.434638118249269,0.15139024646831722,-0.2456635337486454,0.03801724171929316,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site4,9.330792706267758e-4,0.07053615482275917,0.013228382989849467,0.9894455852686201,-0.1373152437899224,0.13918140233117596,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site5,0.0186622400940793,0.07451302977529854,0.25045606319266767,0.8022346785600367,-0.12738061464446648,0.16470509483262508,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site6,0.06552873564269018,0.06879002266236761,0.9525906971177441,0.3407974925405224,-0.06929723127124443,0.2003547025566248,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site7,0.08831264829188946,0.07988813717450419,1.1054538435285222,0.2689629838883394,-0.06826522336213413,0.24489051994591304,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site8,0.040289921249909766,0.07810653473808338,0.5158329118685777,0.6059711137258441,-0.11279607379396026,0.1933759162937798,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,site9,-0.10016087052793961,0.07974535540443664,-1.2560088298555272,0.2091127687315335,-0.25645889505498193,0.056137153999102726,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
Age 15 parent-reported internalising,combined_fiml,sitemissing_site,0.04245402571661761,0.09053955169468389,0.46890033054040775,0.6391408800343434,-0.1350002347813652,0.2199082862146004,,11109,Full-information maximum likelihood (FIML); family-cluster-robust standard errors
