outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.08041619007179239,0.2482684321890652,,combined,(Intercept),0.08392612105863641,0.08384811792368817,1.0009302908267927,0.31691317081143333,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,0.33118665405419634,0.39077885606469986,0.3609827550594481,combined,baseline_bpm_internalising_z,0.3609827550594481,0.015202092349618241,23.74559677428306,1.1353167930543472e-117,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.0033621771474000306,0.04915534066519024,0.022896581758895106,combined,baseline_age_z,0.022896581758895106,0.01339732597259956,1.7090411777487229,0.087510789809622,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,0.14253837363960187,0.19401330012251172,0.1682758368810568,combined,sex_z,0.1682758368810568,0.013131358796660683,12.814807628579116,5.7723565728062405e-37,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,0.005956870252273323,0.07155247658808797,0.03875467342018065,combined,household_income_z,0.03875467342018065,0.016733573044850677,2.3159831624905953,0.02060294837668235,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.017165658548343416,0.04009643143062247,0.011465386441139525,combined,parent_education_z,0.011465386441139525,0.014607676015042318,0.7848877829254286,0.43255979400144196,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.06882660023654558,0.0065145969888420335,-0.03115600162385177,combined,neighborhood_risk_z,-0.03115600162385177,0.019219693169741738,-1.621045734117223,0.10507638363466655,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.3918497626940267,-0.007085806797408917,-0.19946778474571783,combined,site2,-0.19946778474571783,0.09815407038179026,-2.032190656687463,0.04219171183551434,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.3783940979349022,0.023058587815949966,-0.17766775505947613,combined,site3,-0.17766775505947613,0.10241139942623781,-1.73484354334443,0.08283551634198126,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.18917893254183563,0.19481254057586958,0.0028168040170169716,combined,site4,0.0028168040170169716,0.09795700844839418,0.02875551286869814,0.977060829467524,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.30078277183009094,0.12046968876690696,-0.09015654153159199,combined,site5,-0.09015654153159199,0.10746236239719334,-0.8389592367080388,0.40153578895573383,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
