condition,T_ill,eta_eng,eta_wdr,median_late_p_engaged,q1,q3
No decay,0,1.0,1.0,0.9510582512191814,0.8410244827437204,0.9861616766683502
No decay,50,1.0,1.0,0.9110373979202084,0.7544669223920835,0.9829697189422372
No decay,100,1.0,1.0,0.894969176365678,0.8010911668979107,0.969747720797242
No decay,200,1.0,1.0,0.8940515812754981,0.8035126141399946,0.944630870863346
No decay,400,1.0,1.0,0.8423754177651998,0.7986395246635383,0.9057397654320039
No decay,600,1.0,1.0,0.8575916944370892,0.796250213663466,0.903915283738098
Symmetric decay (η=0.992),0,0.992,0.992,0.9812793130757447,0.9108623681906227,0.9926157055926014
Symmetric decay (η=0.992),50,0.992,0.992,0.9758683566115494,0.9188453787493174,0.9898720609445002
Symmetric decay (η=0.992),100,0.992,0.992,0.9640178827563096,0.8732628467860148,0.9895386410063217
Symmetric decay (η=0.992),200,0.992,0.992,0.9321172403916769,0.8085420700596289,0.9766470234246889
Symmetric decay (η=0.992),400,0.992,0.992,0.9190368557631985,0.7992405170983821,0.9653367107002815
Symmetric decay (η=0.992),600,0.992,0.992,0.9210017269372042,0.8264236065219156,0.9689646627986759
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",0,0.99,0.997,0.9074748768927969,0.7581504734115448,0.9826362980644501
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",50,0.99,0.997,0.9440366021962565,0.7808476085364324,0.9848797709869185
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",100,0.99,0.997,0.8888656312175807,0.7511536349292156,0.9659746474296295
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",200,0.99,0.997,0.8502186289805893,0.7372781831699748,0.9297536192944339
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",400,0.99,0.997,0.8268356126403708,0.7190801975606887,0.9116081301810506
"Asymmetric mild ($\eta_e$=0.990, $\eta_w$=0.997)",600,0.99,0.997,0.8283491945260708,0.6922624212986861,0.914357534198031
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",0,0.985,0.997,0.8843570355678225,0.7603541458568475,0.9729697497562946
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",50,0.985,0.997,0.8953555817005798,0.7400528293369782,0.964889006413161
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",100,0.985,0.997,0.8747061121522266,0.7306617920307631,0.9541815768180748
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",200,0.985,0.997,0.8320170799981479,0.7211486946991086,0.926206147629168
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",400,0.985,0.997,0.7923901077479976,0.6415874680533431,0.9048199091980913
"Asymmetric strong ($\eta_e$=0.985, $\eta_w$=0.997)",600,0.985,0.997,0.806157867733438,0.6736978462570766,0.8974954557186565
