history,gamma,delta_c,n_agents,median,q1,q3,mean,sd,proportion_above_0_5
Verified engaged history,18.0,-0.1,100,0.7371974132863033,0.5528088857289792,0.886982264413205,0.6924520400431485,0.23713844197538209,0.8
Verified engaged history,18.0,-0.08,100,0.8218567657164328,0.6198597738230458,0.9194036934493646,0.7497973503633563,0.2155116042979277,0.86
Verified engaged history,18.0,-0.06,100,0.8516060292780525,0.7445196871364517,0.9352950722726633,0.796543778593459,0.19187408368757092,0.89
Verified engaged history,18.0,-0.039999999999999994,100,0.8876612916861155,0.7873724625368788,0.9473768023898242,0.8334948117903196,0.17098534899465093,0.94
Verified engaged history,18.0,-0.01999999999999999,100,0.9173240824048183,0.8364428572820481,0.9554915967933651,0.8657022850448404,0.1484599292538954,0.97
Verified engaged history,18.0,1.3877787807814457e-17,100,0.937343408868064,0.8767019404904484,0.9645965302710282,0.8918429803037107,0.12866386644502936,0.98
Verified engaged history,18.0,0.020000000000000018,100,0.9509934080666309,0.8992953294923969,0.9701443630151507,0.9118403416720768,0.11487581153877233,0.98
Verified engaged history,18.0,0.04000000000000002,100,0.9622486428388465,0.9205976983460682,0.975903230043334,0.9283372625130523,0.09862501556036181,0.98
Verified engaged history,18.0,0.060000000000000026,100,0.9706732998392742,0.9412254331926106,0.9805773701608049,0.9434556366381858,0.0839183854998777,0.98
Verified engaged history,18.0,0.08000000000000003,100,0.9760405639045138,0.9540767068845535,0.9837820059576587,0.9563334249433781,0.06206931033769636,1.0
Verified engaged history,18.0,0.10000000000000003,100,0.9799676226152159,0.961008339303181,0.9865766299770796,0.9660180264946002,0.04284653748855752,1.0
Verified engaged history,18.0,0.12000000000000004,100,0.9829190012985044,0.9672593667212516,0.9887379670770802,0.9726301820752588,0.03206570936731835,1.0
Verified engaged history,18.0,0.14000000000000004,100,0.9859994275338063,0.9737315571577305,0.9904936750065096,0.9777073428838154,0.025606745935945387,1.0
Verified withdrawn history,18.0,-0.1,100,0.0879843721990837,0.04946761136376066,0.14392602202720323,0.108238501219525,0.08079278784222824,0.0
Verified withdrawn history,18.0,-0.08,100,0.10764102239350423,0.05894810478705166,0.18887940873361375,0.13528405791127723,0.1004861104710737,0.0
Verified withdrawn history,18.0,-0.06,100,0.13836690636095894,0.07591329475084269,0.2330799879753084,0.16807716798074457,0.12304582562528786,0.02
Verified withdrawn history,18.0,-0.039999999999999994,100,0.17018230921641148,0.09087014165467341,0.29571242361260214,0.2074589888359026,0.1453481411432824,0.05
Verified withdrawn history,18.0,-0.01999999999999999,100,0.20958982932936493,0.11926468493184669,0.357352006385827,0.25369017562101087,0.16864281185652294,0.12
Verified withdrawn history,18.0,1.3877787807814457e-17,100,0.27020638975656613,0.14742925247607963,0.4303901365760246,0.3055076048891687,0.19381807380003657,0.21
Verified withdrawn history,18.0,0.020000000000000018,100,0.33556084925139207,0.18444689705871326,0.5365815889759074,0.3684278602856822,0.21263413459185793,0.32
Verified withdrawn history,18.0,0.04000000000000002,100,0.43344322003140223,0.2494149717704404,0.6121724611359465,0.43526858424570564,0.22835703114159156,0.4
Verified withdrawn history,18.0,0.060000000000000026,100,0.524157033388352,0.3071950712264785,0.6601368700417394,0.4927199483721401,0.23039056829712024,0.54
Verified withdrawn history,18.0,0.08000000000000003,100,0.6151687826029304,0.38740812866784535,0.739645654232393,0.562608779217705,0.23114100649976935,0.65
Verified withdrawn history,18.0,0.10000000000000003,100,0.6997738384570129,0.47174720796312053,0.8016603549471955,0.6265832288644166,0.22605734739478295,0.74
Verified withdrawn history,18.0,0.12000000000000004,100,0.7389826217414683,0.5459060455667202,0.8423502965284303,0.6789358199197727,0.21220866385280193,0.81
Verified withdrawn history,18.0,0.14000000000000004,100,0.8048683862915242,0.650492938863285,0.8764577165603368,0.7366820232060148,0.19511445924551055,0.86
