gamma,delta_c,n_verified_agents,median,q1,q3,mean,sd,proportion_above_0_5
14.0,-0.1,60,0.17136283327640775,0.09938311855137377,0.24200283363438602,0.18060680794430947,0.09874997927759548,0.0
15.0,-0.1,60,0.1514833404516726,0.08409535156840942,0.2303744002174618,0.16510297760136497,0.09794996557223336,0.0
16.0,-0.1,60,0.13510288300019535,0.0727763948175574,0.21580783636611764,0.1487796917805784,0.0936042276124596,0.0
17.0,-0.1,60,0.12079971465327621,0.0625182949894425,0.2018585188031988,0.13661205785010727,0.09302341785743841,0.0
18.0,-0.1,60,0.09926417877192212,0.052893706711387024,0.18402507783383149,0.1240463292203842,0.09069660981716587,0.0
19.0,-0.1,60,0.09008158769941732,0.04331691795083084,0.17114960426221848,0.11255106556997888,0.08789098950601584,0.0
20.0,-0.1,60,0.07706497720325883,0.03706123055182076,0.15169441034844833,0.10108905493146648,0.08472920890595476,0.0
21.0,-0.1,60,0.06984062389370022,0.029655988666446278,0.13432294673093198,0.09226333296759845,0.0836888208987047,0.0
22.0,-0.1,60,0.05701790715750228,0.024983328772634993,0.11244901181160447,0.08311038679260999,0.08107377946023647,0.0
14.0,-0.07500000000000001,60,0.22006216577713678,0.1221572482997158,0.3003163051040288,0.22198420783711845,0.11663863465409274,0.016666666666666666
15.0,-0.07500000000000001,60,0.20141382780011668,0.10940642533661689,0.28641593012166267,0.20539788471526818,0.11650184414556176,0.0
16.0,-0.07500000000000001,60,0.17108203558683827,0.08889529273376814,0.27893399137388736,0.18988654280526168,0.11840252925050967,0.016666666666666666
17.0,-0.07500000000000001,60,0.15199037307834262,0.07881161000644041,0.2572730489272797,0.17720548019237778,0.1194774492125294,0.016666666666666666
18.0,-0.07500000000000001,60,0.14015923362246094,0.06920464580050535,0.2455061551982023,0.16539711334968998,0.11934663151994206,0.0
19.0,-0.07500000000000001,60,0.12278505441960992,0.05917583059614573,0.22946541882116542,0.15474822175177202,0.11898245620567244,0.0
20.0,-0.07500000000000001,60,0.1065437901202351,0.052302560464585,0.21251943207214097,0.1441006842780672,0.1187292791308903,0.0
21.0,-0.07500000000000001,60,0.09509440800266149,0.042654365050145,0.2018168873543466,0.13331576292865047,0.11538609860997168,0.0
22.0,-0.07500000000000001,60,0.08481676753229249,0.03688307079786898,0.1971056341233645,0.12333989093636058,0.11545355980312759,0.016666666666666666
14.0,-0.05000000000000002,60,0.2654406470378839,0.15858478645081475,0.3590694986172289,0.2664957603478027,0.13193761629307668,0.05
15.0,-0.05000000000000002,60,0.2508285274350601,0.13440094076343384,0.3351360943453369,0.2522385634510506,0.1376832074840647,0.05
16.0,-0.05000000000000002,60,0.23347382043923726,0.11497237299317146,0.33183050548004167,0.23919764414561598,0.14073984671618656,0.05
17.0,-0.05000000000000002,60,0.2167390274398943,0.10299122064558405,0.3327290923143198,0.22722192908204092,0.14572417115283454,0.05
18.0,-0.05000000000000002,60,0.19933884202033328,0.08674262878773886,0.31570812418711114,0.21495843918679472,0.14978233845743605,0.05
19.0,-0.05000000000000002,60,0.1672317174219069,0.0774878652911826,0.31636304112903546,0.20260272506243907,0.15097658779460257,0.05
20.0,-0.05000000000000002,60,0.15036171741173238,0.06871314819158901,0.29470150247297217,0.19209654529269704,0.15194848969950356,0.05
21.0,-0.05000000000000002,60,0.13948410091681054,0.06051532829299805,0.2774774915503104,0.18336062654141833,0.15233107639721,0.05
22.0,-0.05000000000000002,60,0.12478860987583505,0.053694049078174697,0.2681189431688108,0.17579932498671624,0.15652211952343476,0.05
14.0,-0.025000000000000022,60,0.31509037399503415,0.1908754352297998,0.4144024257619233,0.3162624162487631,0.1517039290153338,0.15
15.0,-0.025000000000000022,60,0.3010593132244321,0.17427975272269966,0.4064869807626588,0.3052113709695693,0.15893699961400246,0.15
16.0,-0.025000000000000022,60,0.27622329986791117,0.15828597315725434,0.4057462328705975,0.294881071709123,0.1665956249324398,0.15
17.0,-0.025000000000000022,60,0.26761097706776926,0.1373520853781443,0.40410649513783925,0.28491840374111693,0.17158786096980544,0.15
18.0,-0.025000000000000022,60,0.2639748976819689,0.11693162991249581,0.38812758530508396,0.2768411269311391,0.1775395967997226,0.15
19.0,-0.025000000000000022,60,0.24500988190493717,0.10166107184904842,0.37974057200624434,0.2657612856186457,0.1826039416365991,0.13333333333333333
20.0,-0.025000000000000022,60,0.23322266222239196,0.09531883749671355,0.3746655761422987,0.2565078769217658,0.18786913965200705,0.11666666666666667
21.0,-0.025000000000000022,60,0.22010439411255248,0.08894020534673591,0.3719292553025432,0.24984731468375349,0.19334179090599002,0.11666666666666667
22.0,-0.025000000000000022,60,0.2063737633202774,0.07267348221912755,0.3708582752925817,0.2398508279366163,0.19765322976742575,0.11666666666666667
14.0,-2.7755575615628914e-17,60,0.3670056637253961,0.23273437355166787,0.5243241788830861,0.379445263792911,0.1674356300759948,0.2833333333333333
15.0,-2.7755575615628914e-17,60,0.34648571598165173,0.20936316183164605,0.5232855533986757,0.36835792612477397,0.1790050341536041,0.2833333333333333
16.0,-2.7755575615628914e-17,60,0.3325356166775894,0.2002370581244883,0.5267394088021168,0.3611848122378924,0.1906646230831405,0.3
17.0,-2.7755575615628914e-17,60,0.3262211006848226,0.1765376578644109,0.516824194339085,0.3524035722800237,0.20022310627379272,0.3
18.0,-2.7755575615628914e-17,60,0.3092838478111206,0.16662506354291798,0.5321136392341217,0.3446522010374979,0.21150077207373186,0.3
19.0,-2.7755575615628914e-17,60,0.30513350417319435,0.15268046984386605,0.5211432847718284,0.33947664705029423,0.22034003824390436,0.2833333333333333
20.0,-2.7755575615628914e-17,60,0.2864109005405573,0.1374356294489799,0.5323051616857567,0.3337874560486686,0.22915938886736298,0.2833333333333333
21.0,-2.7755575615628914e-17,60,0.26807672566488816,0.11168240060800308,0.5317490451640706,0.32816201803621514,0.23906285138624012,0.2833333333333333
22.0,-2.7755575615628914e-17,60,0.25440256786759996,0.09969011696567834,0.5334183812787328,0.325204584908586,0.24794316911466482,0.2833333333333333
14.0,0.024999999999999967,60,0.4466792191347002,0.28642436257895454,0.5835394155404541,0.448431985187125,0.17707464929554467,0.45
15.0,0.024999999999999967,60,0.43490328444549947,0.2698291350318205,0.5911673175658907,0.44233273525174827,0.19134383889053908,0.45
16.0,0.024999999999999967,60,0.4273715094497508,0.2561027216371324,0.6110473563331332,0.44057785167693153,0.20391164119671007,0.45
17.0,0.024999999999999967,60,0.4098548545167461,0.23002587139541864,0.6409103548993569,0.4349658505786688,0.21770834607648182,0.45
18.0,0.024999999999999967,60,0.3941354356218748,0.20873411531507666,0.6464649268243269,0.43203094587042107,0.2328078456785112,0.4666666666666667
19.0,0.024999999999999967,60,0.3884857869040923,0.19904788170425797,0.6542755684566206,0.4279941948120351,0.24288588346166262,0.45
20.0,0.024999999999999967,60,0.3794325922706008,0.1979619479502581,0.6675953977885607,0.42919516850324235,0.2561899834810172,0.45
21.0,0.024999999999999967,60,0.3777292075469825,0.17832974663399395,0.6648268930191313,0.4281304063922258,0.2675917220698241,0.45
