seed,condition,gamma,delta_c,late_p_engaged
10001,Control,18.0,-0.05,0.25933026897594896
10002,Control,18.0,-0.05,0.43563369854772227
10011,Control,18.0,-0.05,0.23288316902264378
10020,Control,18.0,-0.05,0.11353000932928621
10022,Control,18.0,-0.05,0.07302877293062415
10038,Control,18.0,-0.05,0.3124156548490712
10043,Control,18.0,-0.05,0.4016365905539561
10045,Control,18.0,-0.05,0.1888647399324562
10048,Control,18.0,-0.05,0.20285741223939335
10050,Control,18.0,-0.05,0.10766796926551417
10054,Control,18.0,-0.05,0.26097153726717354
10055,Control,18.0,-0.05,0.032342322903623065
10058,Control,18.0,-0.05,0.06269843900719532
10067,Control,18.0,-0.05,0.2779538161230344
10069,Control,18.0,-0.05,0.08254978981137423
10084,Control,18.0,-0.05,0.32558553220123104
10088,Control,18.0,-0.05,0.1140514136488953
10090,Control,18.0,-0.05,0.34741657227310996
10094,Control,18.0,-0.05,0.31002111683836703
10108,Control,18.0,-0.05,0.35905005835719456
10114,Control,18.0,-0.05,0.0501145421922209
10122,Control,18.0,-0.05,0.6298567909272955
10124,Control,18.0,-0.05,0.20269955111897223
10129,Control,18.0,-0.05,0.23213057208058038
10140,Control,18.0,-0.05,0.07374988420645928
10146,Control,18.0,-0.05,0.19994994587094717
10150,Control,18.0,-0.05,0.03543020554545334
10158,Control,18.0,-0.05,0.08768641223891162
10159,Control,18.0,-0.05,0.4965102196630449
10169,Control,18.0,-0.05,0.1274113809488423
10174,Control,18.0,-0.05,0.1987277381697195
10175,Control,18.0,-0.05,0.07732735962402991
10181,Control,18.0,-0.05,0.35533397241034836
10192,Control,18.0,-0.05,0.27740547094665796
10195,Control,18.0,-0.05,0.16480710034926185
10196,Control,18.0,-0.05,0.36869751102145076
10200,Control,18.0,-0.05,0.026717332638846944
10202,Control,18.0,-0.05,0.22170932992395326
10208,Control,18.0,-0.05,0.12423484869156255
10210,Control,18.0,-0.05,0.04456764532508898
10211,Control,18.0,-0.05,0.38553346045871195
10223,Control,18.0,-0.05,0.11563472216577317
10225,Control,18.0,-0.05,0.09811164947586114
10228,Control,18.0,-0.05,0.3716478147445305
10249,Control,18.0,-0.05,0.12558179495704103
10256,Control,18.0,-0.05,0.33994431876667336
10257,Control,18.0,-0.05,0.11772567239749922
10263,Control,18.0,-0.05,0.0839112784342206
10266,Control,18.0,-0.05,0.07298739512516643
10270,Control,18.0,-0.05,0.4825343626666526
10282,Control,18.0,-0.05,0.5658261670000797
10284,Control,18.0,-0.05,0.03579663313755655
10295,Control,18.0,-0.05,0.04161114781388754
10302,Control,18.0,-0.05,0.21863517438174324
10307,Control,18.0,-0.05,0.14250818778085214
10315,Control,18.0,-0.05,0.28499577099671725
10318,Control,18.0,-0.05,0.04786163766818122
