accumulated_actions,tau,gamma,delta_c,gamma_times_coupling,fixed_point_count,stable_fixed_point_count
1,0.0125,20.0,0.15,0.001475271042739682,1,1
2,0.025,20.0,0.15,0.005688224127658044,1,1
3,0.0375,20.0,0.15,0.012342893793729484,1,1
4,0.05,20.0,0.15,0.02117186492021334,1,1
5,0.0625,20.0,0.15,0.03193338255332699,1,1
6,0.075,20.0,0.15,0.04440877993850522,1,1
7,0.0875,20.0,0.15,0.05840018636289801,1,1
8,0.1,20.0,0.15,0.07372848148568953,1,1
9,0.1125,20.0,0.15,0.09023146717558059,1,1
10,0.125,20.0,0.15,0.10776223159975244,1,1
11,0.1375,20.0,0.15,0.12618768351195447,1,1
12,0.15,20.0,0.15,0.14538723744825813,1,1
13,0.1625,20.0,0.15,0.16525163292374895,1,1
14,0.175,20.0,0.15,0.1856818727875391,1,1
15,0.1875,20.0,0.15,0.20658826768367194,1,1
16,0.2,20.0,0.15,0.22788957512109856,1,1
17,0.2125,20.0,0.15,0.2495122230102309,1,1
18,0.225,20.0,0.15,0.2713896087047687,1,1
19,0.2375,20.0,0.15,0.2934614656194939,1,1
20,0.25,20.0,0.15,0.315673290397906,1,1
21,0.2625,20.0,0.15,0.3379758243953066,1,1
22,0.275,20.0,0.15,0.3603245839380499,1,1
23,0.2875,20.0,0.15,0.3826794344309562,1,1
24,0.3,20.0,0.15,0.4050042039231589,1,1
25,0.3125,20.0,0.15,0.4272663322174134,1,1
26,0.325,20.0,0.15,0.44943655202714106,1,1
27,0.3375,20.0,0.15,0.47148859905629303,1,1
28,0.35,20.0,0.15,0.49339894820541774,1,1
29,0.3625,20.0,0.15,0.5151465733984841,1,1
30,0.375,20.0,0.15,0.536712728783421,1,1
31,0.3875,20.0,0.15,0.5580807492891079,1,1
32,0.4,20.0,0.15,0.5792358687259489,1,1
33,0.4125,20.0,0.15,0.6001650537993221,1,1
34,0.425,20.0,0.15,0.620856852567641,1,1
35,0.4375,20.0,0.15,0.6413012560218206,1,1
36,0.45,20.0,0.15,0.6614895715926119,1,1
37,0.4625,20.0,0.15,0.6814143075082564,1,1
38,0.475,20.0,0.15,0.7010690670288587,1,1
39,0.4875,20.0,0.15,0.7204484516770231,1,1
40,0.5,20.0,0.15,0.7395479726678944,1,1
41,0.5125,20.0,0.15,0.7583639698168965,1,1
42,0.525,20.0,0.15,0.7768935372709338,1,1
43,0.5375,20.0,0.15,0.7951344554696139,1,1
44,0.55,20.0,0.15,0.8130851287977989,1,1
45,0.5625,20.0,0.15,0.8307445284400818,1,1
46,0.575,20.0,0.15,0.8481121399923536,1,1
47,0.5875,20.0,0.15,0.8651879154257851,1,1
48,0.6,20.0,0.15,0.8819722290348699,1,1
49,0.6125,20.0,0.15,0.898465837034047,1,1
50,0.625,20.0,0.15,0.9146698404971074,1,1
51,0.6375,20.0,0.15,0.9305856513605653,1,1
52,0.65,20.0,0.15,0.9462149612365336,1,1
53,0.6625,20.0,0.15,0.9615597128028,1,1
54,0.675,20.0,0.15,0.9766220735579,1,1
55,0.6875,20.0,0.15,0.9914044117472037,1,1
56,0.7,20.0,0.15,1.0059092742826372,1,1
57,0.7125,20.0,0.15,1.0201393664937533,1,1
58,0.725,20.0,0.15,1.03409753356155,1,1
59,0.7375,20.0,0.15,1.0477867434989938,1,1
60,0.75,20.0,0.15,1.061210071553525,1,1
61,0.7625,20.0,0.15,1.0743706859172817,1,1
62,0.775,20.0,0.15,1.0872718346401653,1,1
63,0.7875,20.0,0.15,1.099916833649596,1,1
64,0.8,20.0,0.15,1.1123090557886446,1,1
65,0.8125,20.0,0.15,1.1244519207914567,1,1
66,0.825,20.0,0.15,1.1363488861214992,1,1
67,0.8375,20.0,0.15,1.1480034386041567,1,1
68,0.85,20.0,0.15,1.1594190867907592,1,1
69,0.8625,20.0,0.15,1.1705993539961541,1,1
70,0.875,20.0,0.15,1.1815477719565657,1,1
71,0.8875,20.0,0.15,1.1922678750587588,1,1
72,0.9,20.0,0.15,1.2027631950953606,1,1
73,0.9125,20.0,0.15,1.213037256504825,1,1
74,0.925,20.0,0.15,1.223093572057746,1,1
75,0.9375,20.0,0.15,1.2329356389542636,1,1
76,0.95,20.0,0.15,1.242566935300072,1,1
77,0.9625,20.0,0.15,1.25199091693105,1,1
78,0.975,20.0,0.15,1.2612110145588893,1,1
79,0.9875,20.0,0.15,1.2702306312122447,1,1
80,1.0,20.0,0.15,1.2790531399498866,1,1
81,1.0125,20.0,0.15,1.2876818818241589,1,1
82,1.025,20.0,0.15,1.2961201640747335,1,1
83,1.0375,20.0,0.15,1.304371258534164,1,1
84,1.05,20.0,0.15,1.3124384002281904,1,1
85,1.0625,20.0,0.15,1.320324786155024,1,1
86,1.075,20.0,0.15,1.3280335742290843,1,1
87,1.0875,20.0,0.15,1.3355678823757207,1,1
88,1.1,20.0,0.15,1.3429307877645305,1,1
89,1.1125,20.0,0.15,1.3501253261697959,1,1
90,1.125,20.0,0.15,1.3571544914474476,1,1
91,1.1375,20.0,0.15,1.364021235118763,1,1
92,1.15,20.0,0.15,1.3707284660517653,1,1
93,1.1625,20.0,0.15,1.3772790502319538,1,1
94,1.175,20.0,0.15,1.3836758106146645,1,1
95,1.1875,20.0,0.15,1.3899215270518988,1,1
96,1.2,20.0,0.15,1.3960189362870712,1,1
97,1.2125,20.0,0.15,1.4019707320115338,1,1
98,1.225,20.0,0.15,1.407779564977304,1,1
99,1.2375,20.0,0.15,1.413448043160763,1,1
100,1.25,20.0,0.15,1.4189787319725458,1,1
101,1.2625,20.0,0.15,1.4243741545091828,1,1
102,1.275,19.98,0.148,1.4282071550505586,1,1
103,1.2875,19.96,0.146,1.4318995451756222,1,1
104,1.3,19.94,0.144,1.4354541067498803,1,1
105,1.3125,19.92,0.142,1.4388735712433507,1,1
106,1.325,19.9,0.13999999999999999,1.4421606203383495,1,1
107,1.3375,19.88,0.13799999999999998,1.4453178865561995,1,1
108,1.35,19.86,0.13599999999999998,1.4483479539002047,1,1
109,1.3625,19.84,0.134,1.4512533585124452,1,1
110,1.375,19.82,0.132,1.4540365893421663,1,1
111,1.3875,19.8,0.13,1.456700088823707,1,1
112,1.4,19.78,0.128,1.4592462535620783,1,1
113,1.4125,19.76,0.126,1.4616774350244826,1,1
114,1.425,19.74,0.124,1.4639959402361886,1,1
115,1.4375,19.72,0.122,1.4662040324793393,1,1
116,1.45,19.7,0.12,1.468303931993352,1,1
117,1.4625,19.68,0.118,1.4702978166757454,1,1
118,1.475,19.66,0.11599999999999999,1.4721878227822676,1,1
119,1.4875,19.64,0.11399999999999999,1.47397604562538,1,1
120,1.5,19.62,0.11199999999999999,1.4756645402701425,1,1
121,1.5125,19.6,0.10999999999999999,1.477255322226742,1,1
122,1.525,19.58,0.10799999999999998,1.4787503681388787,1,1
123,1.5375,19.56,0.10599999999999998,1.48015161646738,1,1
124,1.55,19.54,0.10399999999999998,1.4814609681684312,1,1
125,1.5625,19.52,0.102,1.4826802873658889,1,1
126,1.575,19.5,0.09999999999999999,1.4838114020171997,1,1
127,1.5875,19.48,0.09799999999999999,1.4848561045725006,1,1
128,1.6,19.46,0.09599999999999999,1.485816152626512,1,1
129,1.6125,19.44,0.09399999999999999,1.4866932695629136,1,1
130,1.625,19.42,0.092,1.4874891451908858,1,1
131,1.6375,19.4,0.09,1.4882054363735824,1,1
132,1.65,19.38,0.088,1.488843767648302,1,1
133,1.6625,19.36,0.086,1.4894057318381821,1,1
134,1.675,19.34,0.08399999999999999,1.4898928906552504,1,1
135,1.6875,19.32,0.08199999999999999,1.4903067752947072,1,1
136,1.7,19.3,0.08,1.490648887020335,1,1
137,1.7125,19.28,0.078,1.4909206977409497,1,1
138,1.725,19.26,0.076,1.4911236505778311,1,1
139,1.7375,19.24,0.07399999999999998,1.491259160423094,1,1
140,1.75,19.22,0.07199999999999998,1.4913286144889721,1,1
141,1.7625,19.2,0.06999999999999998,1.4913333728480107,1,1
142,1.775,19.18,0.06799999999999999,1.4912747689641608,1,1
143,1.7875,19.16,0.06599999999999999,1.4911541102148096,1,1
144,1.8,19.14,0.06399999999999999,1.490972678403774,3,2
145,1.8125,19.12,0.061999999999999986,1.4907317302652847,3,2
146,1.825,19.1,0.059999999999999984,1.4904324979590358,3,2
147,1.8375,19.08,0.05799999999999998,1.490076189556344,3,2
148,1.85,19.06,0.055999999999999994,1.4896639895174852,3,2
149,1.8625,19.04,0.05399999999999999,1.4891970591603076,3,2
150,1.875,19.02,0.05199999999999999,1.4886765371201622,3,2
151,1.8875,19.0,0.04999999999999999,1.4881035398012867,3,2
152,1.9,18.98,0.04799999999999999,1.487479161819698,3,2
153,1.9125,18.96,0.045999999999999985,1.486804476437713,3,2
154,1.925,18.94,0.043999999999999984,1.4860805359901856,3,2
155,1.9375,18.92,0.04199999999999998,1.4853083723025844,3,2
156,1.95,18.9,0.03999999999999998,1.4844889971009934,3,2
157,1.9625,18.88,0.03799999999999998,1.4836234024141746,3,2
158,1.975,18.86,0.036000000000000004,1.4827125609677816,3,2
159,1.9875,18.84,0.034,1.4817574265708522,3,2
160,2.0,18.82,0.032,1.480758934494699,3,2
161,2.0125,18.8,0.03,1.4797180018443057,3,2
162,2.025,18.78,0.027999999999999997,1.4786355279223518,3,2
163,2.0375,18.76,0.025999999999999995,1.4775123945859878,3,2
164,2.05,18.74,0.023999999999999994,1.4763494665964834,3,2
165,2.0625,18.72,0.021999999999999992,1.4751475919618506,3,2
166,2.075,18.7,0.01999999999999999,1.4739076022725883,3,2
167,2.0875,18.68,0.017999999999999988,1.4726303130306433,3,2
168,2.1,18.66,0.015999999999999986,1.471316523971725,3,2
169,2.1125,18.64,0.013999999999999985,1.469967019381083,3,2
