condition,eta_engaged,eta_withdrawn,post_verification_adverse_trials,n_agents,delta_grid_step,min_restored_delta_c,bootstrap_ci_low,bootstrap_ci_high
Permanent evidence,1.0,1.0,0,100,0.01,0.06,0.04,0.08
Permanent evidence,1.0,1.0,50,100,0.01,0.07,0.06,0.09
Permanent evidence,1.0,1.0,100,100,0.01,0.09,0.06975000000000002,0.1
Permanent evidence,1.0,1.0,150,100,0.01,0.09,0.07,0.11
Symmetric decay,0.995,0.995,0,100,0.01,0.05,0.02,0.07
Symmetric decay,0.995,0.995,50,100,0.01,0.06,0.04,0.08
Symmetric decay,0.995,0.995,100,100,0.01,0.07,0.06,0.09
Symmetric decay,0.995,0.995,150,100,0.01,0.08,0.07,0.11
Asymmetric mild,0.99,0.997,0,100,0.01,0.14,0.12,0.17
Asymmetric mild,0.99,0.997,50,100,0.01,0.18,0.17,0.2
Asymmetric mild,0.99,0.997,100,100,0.01,0.22,0.2,0.23
Asymmetric mild,0.99,0.997,150,100,0.01,0.25,0.23,0.26
Asymmetric strong,0.985,0.997,0,100,0.01,0.21,0.19,0.23
Asymmetric strong,0.985,0.997,50,100,0.01,0.25,0.23,0.27
Asymmetric strong,0.985,0.997,100,100,0.01,0.29,0.28,0.3
Asymmetric strong,0.985,0.997,150,100,0.01,nan,nan,nan
