alpha_0,intervention_trial,tau,gamma,delta_c,fixed_point_count,stable_fixed_point_count,structurally_bistable
35.0,280,4.0,17.0,-0.06,1,1,0
35.0,280,4.0,17.0,-0.05,3,2,1
35.0,280,4.0,17.0,-0.04,3,2,1
35.0,280,4.0,18.0,-0.06,3,2,1
35.0,280,4.0,18.0,-0.05,3,2,1
35.0,280,4.0,18.0,-0.04,3,2,1
35.0,280,4.0,19.0,-0.06,3,2,1
35.0,280,4.0,19.0,-0.05,3,2,1
35.0,280,4.0,19.0,-0.04,3,2,1
35.0,300,4.285714285714286,17.0,-0.06,1,1,0
35.0,300,4.285714285714286,17.0,-0.05,3,2,1
35.0,300,4.285714285714286,17.0,-0.04,3,2,1
35.0,300,4.285714285714286,18.0,-0.06,3,2,1
35.0,300,4.285714285714286,18.0,-0.05,3,2,1
35.0,300,4.285714285714286,18.0,-0.04,3,2,1
35.0,300,4.285714285714286,19.0,-0.06,3,2,1
35.0,300,4.285714285714286,19.0,-0.05,3,2,1
35.0,300,4.285714285714286,19.0,-0.04,3,2,1
35.0,320,4.571428571428571,17.0,-0.06,1,1,0
35.0,320,4.571428571428571,17.0,-0.05,3,2,1
35.0,320,4.571428571428571,17.0,-0.04,3,2,1
35.0,320,4.571428571428571,18.0,-0.06,3,2,1
35.0,320,4.571428571428571,18.0,-0.05,3,2,1
35.0,320,4.571428571428571,18.0,-0.04,3,2,1
35.0,320,4.571428571428571,19.0,-0.06,3,2,1
35.0,320,4.571428571428571,19.0,-0.05,3,2,1
35.0,320,4.571428571428571,19.0,-0.04,3,2,1
40.0,280,3.5,17.0,-0.06,1,1,0
40.0,280,3.5,17.0,-0.05,3,2,1
40.0,280,3.5,17.0,-0.04,3,2,1
40.0,280,3.5,18.0,-0.06,3,2,1
40.0,280,3.5,18.0,-0.05,3,2,1
40.0,280,3.5,18.0,-0.04,3,2,1
40.0,280,3.5,19.0,-0.06,3,2,1
40.0,280,3.5,19.0,-0.05,3,2,1
40.0,280,3.5,19.0,-0.04,3,2,1
40.0,300,3.75,17.0,-0.06,1,1,0
40.0,300,3.75,17.0,-0.05,3,2,1
40.0,300,3.75,17.0,-0.04,3,2,1
40.0,300,3.75,18.0,-0.06,3,2,1
40.0,300,3.75,18.0,-0.05,3,2,1
40.0,300,3.75,18.0,-0.04,3,2,1
40.0,300,3.75,19.0,-0.06,3,2,1
40.0,300,3.75,19.0,-0.05,3,2,1
40.0,300,3.75,19.0,-0.04,3,2,1
40.0,320,4.0,17.0,-0.06,1,1,0
40.0,320,4.0,17.0,-0.05,3,2,1
40.0,320,4.0,17.0,-0.04,3,2,1
40.0,320,4.0,18.0,-0.06,3,2,1
40.0,320,4.0,18.0,-0.05,3,2,1
40.0,320,4.0,18.0,-0.04,3,2,1
40.0,320,4.0,19.0,-0.06,3,2,1
40.0,320,4.0,19.0,-0.05,3,2,1
40.0,320,4.0,19.0,-0.04,3,2,1
45.0,280,3.111111111111111,17.0,-0.06,1,1,0
45.0,280,3.111111111111111,17.0,-0.05,3,2,1
45.0,280,3.111111111111111,17.0,-0.04,3,2,1
45.0,280,3.111111111111111,18.0,-0.06,3,2,1
45.0,280,3.111111111111111,18.0,-0.05,3,2,1
45.0,280,3.111111111111111,18.0,-0.04,3,2,1
45.0,280,3.111111111111111,19.0,-0.06,3,2,1
45.0,280,3.111111111111111,19.0,-0.05,3,2,1
45.0,280,3.111111111111111,19.0,-0.04,3,2,1
45.0,300,3.3333333333333335,17.0,-0.06,1,1,0
45.0,300,3.3333333333333335,17.0,-0.05,3,2,1
45.0,300,3.3333333333333335,17.0,-0.04,3,2,1
45.0,300,3.3333333333333335,18.0,-0.06,3,2,1
45.0,300,3.3333333333333335,18.0,-0.05,3,2,1
45.0,300,3.3333333333333335,18.0,-0.04,3,2,1
45.0,300,3.3333333333333335,19.0,-0.06,3,2,1
45.0,300,3.3333333333333335,19.0,-0.05,3,2,1
45.0,300,3.3333333333333335,19.0,-0.04,3,2,1
45.0,320,3.5555555555555554,17.0,-0.06,1,1,0
45.0,320,3.5555555555555554,17.0,-0.05,3,2,1
45.0,320,3.5555555555555554,17.0,-0.04,3,2,1
45.0,320,3.5555555555555554,18.0,-0.06,3,2,1
45.0,320,3.5555555555555554,18.0,-0.05,3,2,1
45.0,320,3.5555555555555554,18.0,-0.04,3,2,1
45.0,320,3.5555555555555554,19.0,-0.06,3,2,1
45.0,320,3.5555555555555554,19.0,-0.05,3,2,1
45.0,320,3.5555555555555554,19.0,-0.04,3,2,1
