seed,intervention_trial,adversity_exposure_trials,gamma_at_intervention,delta_c_at_intervention,p_engaged_at_intervention,mean_p_engaged_prior_15,mean_p_engaged_prior_100,order_parameter_z
12000,400,200,6.0,0.0,0.44150639640857703,0.4526148801252224,0.47430061819499836,-0.115
12001,400,200,6.0,0.0,0.5761117328809535,0.5888030175671451,0.7242772006210165,0.82
12002,400,200,6.0,0.0,0.4765805846578674,0.5369893666809222,0.663872997504389,0.835
12003,400,200,6.0,0.0,0.7160983365773032,0.6999876493552062,0.8720000639787457,0.92
12004,400,200,6.0,0.0,0.33407322277483864,0.3249276251351236,0.29523417208143793,-0.665
12005,400,200,6.0,0.0,0.5233462263209876,0.5357742917750311,0.6380949987613002,0.49
12006,400,200,6.0,0.0,0.5566240345107251,0.6064334831860557,0.8122165784874875,0.855
12007,400,200,6.0,0.0,0.804875228104476,0.8151483897634199,0.8275926497889843,0.81
12008,400,200,6.0,0.0,0.6203265425527584,0.6376577679168772,0.7334399060496055,0.785
12009,400,200,6.0,0.0,0.49304444036803,0.5079202311993286,0.4979476247284711,0.54
12010,400,200,6.0,0.0,0.596415076921709,0.62317681697551,0.7195382787407122,0.65
12011,400,200,6.0,0.0,0.18191592154817812,0.1540223723882022,0.10536027384661292,-0.89
12012,400,200,6.0,0.0,0.5158595033700227,0.533774536665775,0.7087762902463278,0.75
12013,400,200,6.0,0.0,0.31701350193077144,0.30069974431505375,0.3515599224710268,-0.045
12014,400,200,6.0,0.0,0.2571063093959879,0.25184653799724516,0.1735922655367416,-0.865
12015,400,200,6.0,0.0,0.5366416794456943,0.6055650783022897,0.7650312210409893,0.865
12016,400,200,6.0,0.0,0.3168830733733833,0.3019709593090238,0.3547069528569018,0.415
12017,400,200,6.0,0.0,0.7641981717886515,0.8042499873742472,0.8911212184284147,0.89
12018,400,200,6.0,0.0,0.49644028032236814,0.5144855776509121,0.6223762407085515,0.665
12019,400,200,6.0,0.0,0.5239921516385019,0.5479768167150522,0.641305964284813,0.365
12020,400,200,6.0,0.0,0.4914200161133598,0.5068436753862579,0.6403705328458478,0.505
12021,400,200,6.0,0.0,0.44580014394333045,0.4566704548445522,0.7096100548614188,0.835
12022,400,200,6.0,0.0,0.7300418627665884,0.775956753848541,0.871136935732546,0.855
12023,400,200,6.0,0.0,0.4840983631562634,0.48517757028603914,0.5296444892025794,-0.245
12024,400,200,6.0,0.0,0.5295652146315195,0.5477693962066731,0.5781877738594196,0.525
12025,400,200,6.0,0.0,0.6530738717280236,0.6837406570644067,0.8421045539964873,0.885
12026,400,200,6.0,0.0,0.48355478005340347,0.5087394316536576,0.5998131604404802,-0.005
12027,400,200,6.0,0.0,0.7914731870084946,0.7917561543989419,0.8717857466194947,0.925
12028,400,200,6.0,0.0,0.42763941888197426,0.44885008440101754,0.4913486592883063,-0.175
12029,400,200,6.0,0.0,0.8498763740335559,0.8725443950782767,0.9366969058505265,0.94
12030,400,200,6.0,0.0,0.6886221261042911,0.7179423604283653,0.8365387564832624,0.885
12031,400,200,6.0,0.0,0.48584828027473137,0.48163872690222775,0.44606283699340876,0.365
12032,400,200,6.0,0.0,0.4460808154814636,0.45952721791140194,0.46271000303924636,-0.525
12033,400,200,6.0,0.0,0.4424648896057055,0.4700758113967375,0.6468522883480956,0.66
12034,400,200,6.0,0.0,0.5021911592357812,0.43963993654516337,0.6760205901018663,0.83
12035,400,200,6.0,0.0,0.49335032063117334,0.4683691705292666,0.4703668928321217,0.435
12036,400,200,6.0,0.0,0.5470993894000403,0.5792399752048262,0.6777620639932946,0.83
