outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,8264,Complete-case analysis,0.2739908459348395,-0.01926598289803327,0.06809753033898959,,mcs_family_conflict,(Intercept),0.02441577372047816,0.02228661051964869,1.095535532375025,0.2739908459348395
Age 17 psychological distress,8264,Complete-case analysis,2.283535943395094e-21,0.1217657511030292,0.18038051352936915,0.15107313231619918,mcs_family_conflict,baseline_distress_z,0.15107313231619918,0.01495274551692346,10.103370792020447,2.283535943395094e-21
Age 17 psychological distress,8264,Complete-case analysis,0.575175685003855,-0.030759484612727574,0.017070748090441172,-0.0068443682611432,mcs_family_conflict,baseline_age_z,-0.0068443682611432,0.01220158997529815,-0.5609406868284766,0.575175685003855
Age 17 psychological distress,8264,Complete-case analysis,3.342883431078343e-44,0.17940415907799764,0.22950635472084094,0.2044552568994193,mcs_family_conflict,sex_z,0.2044552568994193,0.012781172357868185,15.996596491679037,3.342883431078343e-44
Age 17 psychological distress,8264,Complete-case analysis,0.5527116664664926,-0.04640345962642688,0.02481202509657761,-0.010795717264924636,mcs_family_conflict,income_quintile_z,-0.010795717264924636,0.01816721549056237,-0.5942417136260023,0.5527116664664926
Age 17 psychological distress,8264,Complete-case analysis,0.15050244298185161,-0.125387083651425,0.01914586581295024,-0.05312060891923739,mcs_family_conflict,sampling_stratumEngland - Disadvantaged,-0.05312060891923739,0.036870650373565114,-1.4407288285135023,0.15050244298185161
Age 17 psychological distress,8264,Complete-case analysis,0.0012103221997400884,-0.23375840078684407,-0.058268469728239194,-0.14601343525754162,mcs_family_conflict,sampling_stratumEngland - Ethnic,-0.14601343525754162,0.04476783955576655,-3.2615698391175463,0.0012103221997400884
Age 17 psychological distress,8264,Complete-case analysis,0.7289499841660839,-0.13792336512853687,0.09645474999170682,-0.020734307568415027,mcs_family_conflict,sampling_stratumWales - Advantaged,-0.020734307568415027,0.05979033548985809,-0.34678359635449907,0.7289499841660839
Age 17 psychological distress,8264,Complete-case analysis,0.6270071844183126,-0.07846876055069592,0.13026263516553216,0.025896937307418117,mcs_family_conflict,sampling_stratumWales - Disadvantaged,0.025896937307418117,0.053247805029650014,0.4863475084653331,0.6270071844183126
Age 17 psychological distress,8264,Complete-case analysis,0.050500969349272506,1.09952161177998e-4,0.20958866103582513,0.10484930659850156,mcs_family_conflict,sampling_stratumScotland - Advantaged,0.10484930659850156,0.05343844614149161,1.9620575478726847,0.050500969349272506
