variable,missing_fraction,cohort
peer_school_trouble,0.7850767976376738,MCS
mfq_age14_sum,0.7552171709380991,MCS
family_conflict,0.7541594129443134,MCS
social_support,0.7536966438220322,MCS
sleep_risk,0.7518455673329073,MCS
income_quintile,0.742193525639613,MCS
sex,0.7419290861411666,MCS
age_baseline,0.7419290861411666,MCS
context_index,0.5678177130390709,MCS
precision_index,0.5440622314286344,MCS
field_index,0.23907534322043236,MCS
distress_proxy,0.04530730073381961,MCS
distress_wave_z,0.04530730073381961,MCS
distress_pooled_z,0.04530730073381961,MCS
distress_z,0.04530730073381961,MCS
MCSID,0,MCS
wave,0,MCS
age_years,0,MCS
