outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 17 psychological distress,0.04737428856647039,6.524665132678631e-4,0.0875155310676623,,base,(Intercept),0.04408399879046508,0.022158945039386337,1.9894448364806239,0.04737428856647039,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,2.515272073988616e-34,0.16755293604517163,0.22425776596900587,0.19590535100708875,base,baseline_distress_z,0.19590535100708875,0.014465517837712815,13.542920011916001,2.515272073988616e-34,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.8906765366332194,-0.027587009712001186,0.02396910909533057,-0.001808950308335308,base,baseline_age_z,-0.001808950308335308,0.013152071124319325,-0.13754109837426298,0.8906765366332194,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,1.218491979065461e-46,0.19205276243534625,0.2436473316980568,0.21785004706670152,base,sex_z,0.21785004706670152,0.013161879913956771,16.551590539562266,1.218491979065461e-46,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.3349239466506837,-0.052501694071199756,0.01784803432641825,-0.017326829872390755,base,income_quintile_z,-0.017326829872390755,0.017946359285106635,-0.965478824820474,0.3349239466506837,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.07230614669174049,-0.14709387163334053,0.006167975544074819,-0.07046294804463285,base,sampling_stratumEngland - Disadvantaged,-0.07046294804463285,0.03909740999423861,-1.802240814801192,0.07230614669174049,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,1.9531127414086773e-7,-0.3250035394411642,-0.14957325042899627,-0.23728839493508025,base,sampling_stratumEngland - Ethnic,-0.23728839493508025,0.044752624748002026,-5.302222970635347,1.9531127414086773e-7,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.6625442960760473,-0.14835743670864363,0.094288515719788,-0.027034460494427807,base,sampling_stratumWales - Advantaged,-0.027034460494427807,0.061899477660314194,-0.43674779685193527,0.6625442960760473,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.988768999246104,-0.10470775654026493,0.10622364045677926,7.579419582571619e-4,base,sampling_stratumWales - Disadvantaged,7.579419582571619e-4,0.05380902984618474,0.014085776317167755,0.988768999246104,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.102352538544544,-0.016556469182603242,0.1847115580370044,0.08407754442720058,base,sampling_stratumScotland - Advantaged,0.08407754442720058,0.05134388449479787,1.6375376591484672,0.102352538544544,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.28710709427898073,-0.06793950190343387,0.2299598526281669,0.08101017536236652,base,sampling_stratumScotland - Disadvantaged,0.08101017536236652,0.07599473329887775,1.0659972322524465,0.28710709427898073,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.04655739479608301,-0.2310062786623667,-0.002152732066602714,-0.1165795053644847,base,sampling_stratumNorthern Ireland - Advantaged,-0.1165795053644847,0.05838100678463367,-1.9968738427986366,0.04655739479608301,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.09034221940961866,-0.2318854549629711,0.016611868392786444,-0.10763679328509233,base,sampling_stratumNorthern Ireland - Disadvantaged,-0.10763679328509233,0.06339217432544836,-1.6979508027678154,0.09034221940961866,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.2028088547612259,-0.0148312402806021,0.07014340680619163,,field,(Intercept),0.02765608326279477,0.0216772058894882,1.2758140234395186,0.2028088547612259,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,9.668742006141428e-26,0.13165437414698117,0.1868265916413025,0.15924048289414183,field,baseline_distress_z,0.15924048289414183,0.01407454527916361,11.314076564156311,9.668742006141428e-26,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7135875807309,-0.029241749273480555,0.02001133844292008,-0.004615205415280238,field,baseline_age_z,-0.004615205415280238,0.012564563192959345,-0.3673192091442069,0.7135875807309,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,7.306081277475217e-47,0.18677467630066405,0.23674649151794377,0.2117605839093039,field,sex_z,0.2117605839093039,0.012747912045224423,16.611393548846525,7.306081277475217e-47,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.604816575670025,-0.02574266962666622,0.044233667812057904,0.009245499092695843,field,income_quintile_z,0.009245499092695843,0.017851106489470442,0.5179230261244222,0.604816575670025,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.12805433443616507,-0.12949255467873005,0.016155733524853833,-0.05666841057693811,field,sampling_stratumEngland - Disadvantaged,-0.05666841057693811,0.037155175562138744,-1.5251821507925647,0.12805433443616507,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,4.114920985089097e-4,-0.24729018441155773,-0.07182195501969332,-0.15955606971562553,field,sampling_stratumEngland - Ethnic,-0.15955606971562553,0.04476230341629194,-3.5645187476557023,4.114920985089097e-4,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7061158902763889,-0.14219265217568727,0.09627904250671926,-0.022956804834484007,field,sampling_stratumWales - Advantaged,-0.022956804834484007,0.06083461599040983,-0.3773641776271423,0.7061158902763889,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.7178205771278319,-0.08646010580102412,0.12558514378625857,0.01956251899261722,field,sampling_stratumWales - Disadvantaged,0.01956251899261722,0.05409317591512314,0.3616448592944977,0.7178205771278319,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.050764848414075865,-1.3802844514937407e-5,0.20589899068832906,0.10294259392190706,field,sampling_stratumScotland - Advantaged,0.10294259392190706,0.05252877386041939,1.9597372326917126,0.050764848414075865,8371,Complete-case analysis on a common comparison sample
