sample,characteristic,summary
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),Cohort members (N),"8,371"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Age at baseline, mean (SD)",13.75 (0.46)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Female, n (%)","4,057 (48.5%)"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"OECD equivalised income quintile, mean (SD)",3.29 (1.38)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Baseline distress, mean (SD)",3.69 (3.36)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: White, n (%)","6,611 (79.5%)"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: Mixed, n (%)",390 (4.7%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: Indian, n (%)",230 (2.8%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: Pakistani/Bangladeshi, n (%)",636 (7.6%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: Black/Black British, n (%)",253 (3.0%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"Ethnicity: Other, n (%)",194 (2.3%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: England - Advantaged, n (%)","2,436 (29.1%)"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: England - Disadvantaged, n (%)","1,999 (23.9%)"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: England - Ethnic, n (%)","1,135 (13.6%)"
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Wales - Advantaged, n (%)",393 (4.7%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Wales - Disadvantaged, n (%)",748 (8.9%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Scotland - Advantaged, n (%)",482 (5.8%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Scotland - Disadvantaged, n (%)",386 (4.6%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Northern Ireland - Advantaged, n (%)",355 (4.2%)
MCS primary complete-case sample (age 14 exposure to age 17 follow-up),"PTTYPE2 stratum: Northern Ireland - Disadvantaged, n (%)",437 (5.2%)
