outcome,model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,std_estimate,nobs,missingness_handling
Age 17 psychological distress,combined_mi,(Intercept),0.03438522852092173,0.023111460907274173,1.4877998694621342,0.13680368012748093,-0.010913234857335648,0.07968369189917912,,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,baseline_distress_z,0.15914846995426243,0.013877165479698545,11.468370121195646,1.9020802781935724e-30,0.13194922561405328,0.18634771429447158,0.15914846995426243,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,baseline_age_z,-0.008721281861017208,0.01321864181960298,-0.6597714031470103,0.5094005373198811,-0.03462981982743905,0.017187256105404634,-0.008721281861017208,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sex_z,0.2112431773132283,0.013186491695821633,16.01966483474633,9.315101465409209e-58,0.1853976535894179,0.23708870103703872,0.2112431773132283,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,income_quintile_z,0.007160294935264183,0.018046041080539373,0.39677926606217007,0.6915302416541232,-0.028209945582592988,0.042530535453121354,0.007160294935264183,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumEngland - Disadvantaged,-0.07902331802468698,0.03840556571473435,-2.0576006772468807,0.03962848159871725,-0.15429822682556632,-0.003748409223807661,-0.07902331802468698,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumEngland - Ethnic,-0.16851419786577393,0.04603843992524577,-3.6602934013271593,2.5192661168642203e-4,-0.25874954011925566,-0.07827885561229223,-0.16851419786577393,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumWales - Advantaged,-0.03243137596519622,0.06026888690251865,-0.538111414230232,0.5905001327598861,-0.15055839429413279,0.08569564236374033,-0.03243137596519622,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumWales - Disadvantaged,0.011836066341606197,0.05041554747133845,0.23477016387325902,0.8143871263501151,-0.08697840670221717,0.11065053938542956,0.011836066341606197,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumScotland - Advantaged,0.08618681595621161,0.04865459529681554,1.7714013533651274,0.0764939837092995,-0.00917619082554684,0.18154982273797005,0.08618681595621161,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumScotland - Disadvantaged,0.04261539248758828,0.07040143756418699,0.605319919053281,0.5449664488015353,-0.09537142513821822,0.18060221011339478,0.04261539248758828,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumNorthern Ireland - Advantaged,-0.0805992203935372,0.05909556388969102,-1.3638793690840372,0.1726055349916287,-0.1964265256173316,0.03522808483025719,-0.0805992203935372,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,sampling_stratumNorthern Ireland - Disadvantaged,-0.08415250128035834,0.06671019212622645,-1.2614639322448393,0.20714174686465775,-0.21490447784776218,0.0465994752870455,-0.08415250128035834,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,field_index,-0.3054237556299253,0.023212325643539512,-13.15782659265472,1.5343629170676916e-39,-0.35091991389126276,-0.25992759736858784,-0.3054237556299253,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
Age 17 psychological distress,combined_mi,precision_index,0.01640060135835468,0.015275174776294021,1.0736768383041508,0.2829675457830925,-0.0135387412031816,0.046339943919890964,0.01640060135835468,9856,"Multiple imputation (m = 20), pooled with Rubin's rules"
