outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,4940,Complete-case analysis,0.30958473012781146,-0.02844321859208054,0.08986481644050529,,mcs_prs_depression_prs,(Intercept),0.030710798924212374,0.0301806211817821,1.0175668267142992,0.30958473012781146
Age 17 psychological distress,4940,Complete-case analysis,1.2524748093619991e-14,0.11685660070436141,0.19201226641307564,0.15443443355871853,mcs_prs_depression_prs,baseline_distress_z,0.15443443355871853,0.019172363701202608,8.055054450538691,1.2524748093619991e-14
Age 17 psychological distress,4940,Complete-case analysis,0.6223794538431195,-0.022670048078862744,0.03790361289906945,0.007616782410103352,mcs_prs_depression_prs,baseline_age_z,0.007616782410103352,0.015452464535186785,0.4929169966874338,0.6223794538431195
Age 17 psychological distress,4940,Complete-case analysis,9.080874258793086e-30,0.16768716673049883,0.23027479340841628,0.19898098006945755,mcs_prs_depression_prs,sex_z,0.19898098006945755,0.015966231295387108,12.462614150337798,9.080874258793086e-30
Age 17 psychological distress,4940,Complete-case analysis,0.916905357977359,-0.04798222236931765,0.0431288026404474,-0.0024267098644351294,mcs_prs_depression_prs,income_quintile_z,-0.0024267098644351294,0.02324260842085843,-0.10440781088310838,0.916905357977359
Age 17 psychological distress,4940,Complete-case analysis,0.2023759450530905,-0.1438553389185547,0.030342417755603417,-0.05675646058147565,mcs_prs_depression_prs,sampling_stratumEngland - Disadvantaged,-0.05675646058147565,0.044438203233203605,-1.2771997167308513,0.2023759450530905
Age 17 psychological distress,4940,Complete-case analysis,0.05796918106197913,-0.30269325038065675,0.004533522859446831,-0.14907986376060497,mcs_prs_depression_prs,sampling_stratumEngland - Ethnic,-0.14907986376060497,0.07837417684696521,-1.9021554006455585,0.05796918106197913
Age 17 psychological distress,4940,Complete-case analysis,0.4395133113610662,-0.2203497997629179,0.0955990382177277,-0.0623753807725951,mcs_prs_depression_prs,sampling_stratumWales - Advantaged,-0.0623753807725951,0.08059919336240959,-0.7738958439959545,0.4395133113610662
Age 17 psychological distress,4940,Complete-case analysis,0.9950413756581211,-0.1474967525653682,0.14843576186437046,4.6950464950112864e-4,mcs_prs_depression_prs,sampling_stratumWales - Disadvantaged,4.6950464950112864e-4,0.07549298837493333,0.006219182199668,0.9950413756581211
Age 17 psychological distress,4940,Complete-case analysis,0.04668932518601982,0.0024160788582218706,0.26437844572560315,0.1333972622919125,mcs_prs_depression_prs,sampling_stratumScotland - Advantaged,0.1333972622919125,0.0668271344049442,1.9961541592309116,0.04668932518601982
Age 17 psychological distress,4940,Complete-case analysis,0.6466058259815319,-0.1461227856972197,0.23545932786754903,0.04466827108516466,mcs_prs_depression_prs,sampling_stratumScotland - Disadvantaged,0.04466827108516466,0.09734237590937977,0.4588779621194811,0.6466058259815319
Age 17 psychological distress,4940,Complete-case analysis,0.7408256360465941,-0.187545844230213,0.13335016309322864,-0.027097840568492192,mcs_prs_depression_prs,sampling_stratumNorthern Ireland - Advantaged,-0.027097840568492192,0.08186122635802083,-0.3310216786880218,0.7408256360465941
Age 17 psychological distress,4940,Complete-case analysis,0.8776726479662414,-0.19097796360038527,0.16314791843948628,-0.013915022580449497,mcs_prs_depression_prs,sampling_stratumNorthern Ireland - Disadvantaged,-0.013915022580449497,0.09033823521425295,-0.15403248189924879,0.8776726479662414
Age 17 psychological distress,4940,Complete-case analysis,0.04533881675906649,0.0010649955465132505,0.08686215094597846,0.043963573246245856,mcs_prs_depression_prs,pc1,0.043963573246245856,0.021887029438639086,2.0086587524131128,0.04533881675906649
Age 17 psychological distress,4940,Complete-case analysis,0.9579489487961372,-0.045906859202632044,0.04349993381018309,-0.0012034626962244776,mcs_prs_depression_prs,pc2,-0.0012034626962244776,0.022807855360412025,-0.05276527219272654,0.9579489487961372
Age 17 psychological distress,4940,Complete-case analysis,0.7544798734093648,-0.03349892503400653,0.04623051482359879,0.006365794894796129,mcs_prs_depression_prs,pc3,0.006365794894796129,0.020339142820817682,0.3129824570719155,0.7544798734093648
Age 17 psychological distress,4940,Complete-case analysis,0.2869256749586023,-0.02084687317413714,0.07061452665678043,0.024883826741321644,mcs_prs_depression_prs,pc4,0.024883826741321644,0.023331989752785096,1.0665111293541225,0.2869256749586023
Age 17 psychological distress,4940,Complete-case analysis,0.946080999812316,-0.034602592677745236,0.03229274550373683,-0.0011549235870042076,mcs_prs_depression_prs,pc5,-0.0011549235870042076,0.017065137291194403,-0.06767736861983216,0.946080999812316
Age 17 psychological distress,4940,Complete-case analysis,0.17154625042465363,-0.05695771232163677,0.010090552282963523,-0.023433580019336625,mcs_prs_depression_prs,pc6,-0.023433580019336625,0.017104149133826605,-1.3700523677610132,0.17154625042465363
Age 17 psychological distress,4940,Complete-case analysis,0.9435186287928176,-0.03501521687519944,0.03764349218740026,0.001314137656100411,mcs_prs_depression_prs,pc7,0.001314137656100411,0.018535384964948904,0.07089885959128951,0.9435186287928176
Age 17 psychological distress,4940,Complete-case analysis,0.09634030396096253,-0.004910691607566325,0.06086322113997994,0.027976264766206807,mcs_prs_depression_prs,pc8,0.027976264766206807,0.016779059374374048,1.6673321276241373,0.09634030396096253
Age 17 psychological distress,4940,Complete-case analysis,0.7994841211921926,-0.03924530204619232,0.0302339969529302,-0.0045056525466310605,mcs_prs_depression_prs,pc9,-0.0045056525466310605,0.01772431096916391,-0.2542074867942582,0.7994841211921926
Age 17 psychological distress,4940,Complete-case analysis,0.2407889545994508,-0.05433198822863892,0.013604539432980157,-0.02036372439782938,mcs_prs_depression_prs,pc10,-0.02036372439782938,0.017330746852453845,-1.1750055881144037,0.2407889545994508
Age 17 psychological distress,4940,Complete-case analysis,0.2726629090759784,-0.014562167907775637,0.05171211403008477,0.018574973061154566,mcs_prs_depression_prs,pc11,0.018574973061154566,0.016906704575984796,1.0986749651697036,0.2726629090759784
Age 17 psychological distress,4940,Complete-case analysis,0.6122180939985256,-0.04315011456145356,0.025404201609541037,-0.008872956475956264,mcs_prs_depression_prs,pc12,-0.008872956475956264,0.01748834596198842,-0.5073639608480968,0.6122180939985256
Age 17 psychological distress,4940,Complete-case analysis,0.22421232435762273,-0.013654760518215469,0.05844002641268789,0.022392632947236212,mcs_prs_depression_prs,pc13,0.022392632947236212,0.018391527278291676,1.217551571895131,0.22421232435762273
Age 17 psychological distress,4940,Complete-case analysis,0.3179147168446542,-0.05540153287377874,0.01796372143584799,-0.018718905718965374,mcs_prs_depression_prs,pc14,-0.018718905718965374,0.018715626099394575,-1.000175234296378,0.3179147168446542
Age 17 psychological distress,4940,Complete-case analysis,0.05138405661693721,-0.07521045899259039,9.729407644201715e-5,-0.03755658245807419,mcs_prs_depression_prs,pc15,-0.03755658245807419,0.019211161497202145,-1.9549355442951126,0.05138405661693721
Age 17 psychological distress,4940,Complete-case analysis,0.27040165917345865,-0.05318541078874353,0.01486126625533855,-0.019162072266702492,mcs_prs_depression_prs,pc16,-0.019162072266702492,0.017358846184714817,-1.1038793744007878,0.27040165917345865
Age 17 psychological distress,4940,Complete-case analysis,0.7429008022008717,-0.030860159592567323,0.022005827892986714,-0.004427165849790304,mcs_prs_depression_prs,pc17,-0.004427165849790304,0.013486221297335213,-0.32827326144092583,0.7429008022008717
Age 17 psychological distress,4940,Complete-case analysis,0.1915852139870238,-0.06474049266580019,0.012906296924891352,-0.02591709787045442,mcs_prs_depression_prs,pc18,-0.02591709787045442,0.01980785448742131,-1.3084252959810814,0.1915852139870238
Age 17 psychological distress,4940,Complete-case analysis,0.15493685246843522,-0.04016177077914646,0.006342395769481098,-0.016909687504832682,mcs_prs_depression_prs,pc19,-0.016909687504832682,0.011863307793017235,-1.4253771207711357,0.15493685246843522
Age 17 psychological distress,4940,Complete-case analysis,0.9363465372011159,-0.031032706135560483,0.03367102947505093,0.0013191616697452212,mcs_prs_depression_prs,pc20,0.0013191616697452212,0.016506055002706993,0.07991986392441311,0.9363465372011159
Age 17 psychological distress,4940,Complete-case analysis,1.0728426254837622e-20,-0.33980801008223516,-0.22792424080110174,-0.28386612544166845,mcs_prs_depression_prs,field_index,-0.28386612544166845,0.028541777877840166,-9.945635715358225,1.0728426254837622e-20
Age 17 psychological distress,4940,Complete-case analysis,2.3455930821527022e-5,0.042189139080768163,0.11326787041957279,0.07772850475017047,mcs_prs_depression_prs,depression_prs,0.07772850475017047,0.018132329423164444,4.286735748958467,2.3455930821527022e-5
Age 17 psychological distress,4940,Complete-case analysis,0.055313594282766936,-7.243901722581436e-4,0.07561675223779225,0.037446181032767055,mcs_prs_depression_prs,precision_index,0.037446181032767055,0.019474781227053675,1.9228036811395934,0.055313594282766936
Age 17 psychological distress,4940,Complete-case analysis,0.56153981425717725,-0.07969889291740576,0.043247284040676,-0.018225804438364874,mcs_prs_depression_prs,field_index:depression_prs,-0.018225804438364874,0.03136382065257188,-0.5811091907538481,0.56153981425717725
Age 17 psychological distress,4940,Complete-case analysis,0.8969426425170967,-0.03508294684066786,0.030730579661087703,-0.002176183589790079,mcs_prs_depression_prs,depression_prs:precision_index,-0.002176183589790079,0.016789164923917237,-0.129618334184684,0.8969426425170967
Age 17 psychological distress,4940,Complete-case analysis,0.25517024707857683,-0.02523608031411706,0.09536700312091825,,mcs_prs_cognition_pgi,(Intercept),0.0350654614034006,0.03076609271301921,1.1397437344574481,0.25517024707857683
Age 17 psychological distress,4940,Complete-case analysis,6.329277196675957e-16,0.12375564890415582,0.19815591076391253,0.16095577983403417,mcs_prs_cognition_pgi,baseline_distress_z,0.16095577983403417,0.018979658637693037,8.480435971297227,6.329277196675957e-16
Age 17 psychological distress,4940,Complete-case analysis,0.6113548926754259,-0.022645955143598996,0.03851699414883843,0.007935519502619715,mcs_prs_cognition_pgi,baseline_age_z,0.007935519502619715,0.015602793186846282,0.5085960832519171,0.6113548926754259
Age 17 psychological distress,4940,Complete-case analysis,1.629005570028005e-29,0.16730278022318726,0.23014955685095925,0.19872616853707326,mcs_prs_cognition_pgi,sex_z,0.19872616853707326,0.01603234097647245,12.395330714878446,1.629005570028005e-29
Age 17 psychological distress,4940,Complete-case analysis,0.5264008723007736,-0.06017939105165683,0.030757483571781815,-0.01471095373993751,mcs_prs_cognition_pgi,income_quintile_z,-0.01471095373993751,0.023198182301897616,-0.6341425180857446,0.5264008723007736
Age 17 psychological distress,4940,Complete-case analysis,0.23767158078437814,-0.1416029939277859,0.035015300269328274,-0.05329384682922881,mcs_prs_cognition_pgi,sampling_stratumEngland - Disadvantaged,-0.05329384682922881,0.04505568729518219,-1.1828439433200595,0.23767158078437814
Age 17 psychological distress,4940,Complete-case analysis,0.0727720249748722,-0.2875628932938749,0.012263337849504563,-0.13764977772218517,mcs_prs_cognition_pgi,sampling_stratumEngland - Ethnic,-0.13764977772218517,0.07648628345494375,-1.7996661820190463,0.0727720249748722
Age 17 psychological distress,4940,Complete-case analysis,0.3967716031168217,-0.21810516900764626,0.08632450833591782,-0.06589033033586422,mcs_prs_cognition_pgi,sampling_stratumWales - Advantaged,-0.06589033033586422,0.077660631975399,-0.8484392756002381,0.3967716031168217
Age 17 psychological distress,4940,Complete-case analysis,0.9788553386231423,-0.15137586080167348,0.14733369517036488,-0.0020210828156542885,mcs_prs_cognition_pgi,sampling_stratumWales - Disadvantaged,-0.0020210828156542885,0.0762014173398057,-0.026522903198002927,0.9788553386231423
Age 17 psychological distress,4940,Complete-case analysis,0.05835180718356681,-0.0041174876049276665,0.26155212373707326,0.12871731806607278,mcs_prs_cognition_pgi,sampling_stratumScotland - Advantaged,0.12871731806607278,0.06777286003622472,1.899245774743358,0.05835180718356681
Age 17 psychological distress,4940,Complete-case analysis,0.621790277060148,-0.14477167004662544,0.24227395803709412,0.04875114399523433,mcs_prs_cognition_pgi,sampling_stratumScotland - Disadvantaged,0.04875114399523433,0.09873612961319377,0.493751823027909,0.621790277060148
