outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 14 MFQ depressive symptoms,1.835591164962603e-107,-0.6745131452639572,-0.5954629557920124,-0.6349880505279848,combined,field_index,-0.6349880505279848,0.02016586466121043,-31.48826302248279,1.835591164962603e-107,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.3751642795242254,-0.03923893619146225,0.014771683076808047,-0.012233626557327102,combined,precision_index,-0.012233626557327102,0.013778219201089362,-0.8878960610787686,0.3751642795242254,8935,Complete-case analysis on a common comparison sample
Age 17 wellbeing,1.858070930645275e-40,0.29627378943851196,0.3848658590321949,0.3405698242353534,combined,field_index,0.3405698242353534,0.02260001775349054,15.069449411505568,1.858070930645275e-40,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.016119738552757626,-0.06837297850106927,-0.007140627834826302,-0.037756803167947786,combined,precision_index,-0.037756803167947786,0.015620497618939534,-2.4171319050789033,0.016119738552757626,8328,Complete-case analysis on a common comparison sample
Age 23 psychological distress,1.105330777079289e-19,-0.25525225110869887,-0.1687516215153932,-0.21200193631204603,combined,field_index,-0.21200193631204603,0.02206648714114941,-9.60741666564165,1.105330777079289e-19,7449,Complete-case analysis on a common comparison sample
Age 23 psychological distress,0.5116565357637457,-0.03856259550610164,0.019202748413122427,-0.009679923546489604,combined,precision_index,-0.009679923546489604,0.014736057122251036,-0.6568869451430932,0.5116565357637457,7449,Complete-case analysis on a common comparison sample
Age 23 anxiety symptoms,4.08828794604226e-9,-0.2185729056816162,-0.11124361643737646,-0.16490826105949632,combined,field_index,-0.16490826105949632,0.027379920725571362,-6.022963423173134,4.08828794604226e-9,5667,Complete-case analysis on a common comparison sample
Age 23 anxiety symptoms,0.2852545843929604,-0.06043370163288751,0.01774811422432287,-0.021342793704282322,combined,precision_index,-0.021342793704282322,0.01994434077990061,-1.0701177812701153,0.2852545843929604,5667,Complete-case analysis on a common comparison sample
Age 23 depressive symptoms,1.0637615832967063e-10,-0.25925779603556526,-0.14116672960035365,-0.20021226281795945,combined,field_index,-0.20021226281795945,0.03012527204979889,-6.645990200088368,1.0637615832967063e-10,5666,Complete-case analysis on a common comparison sample
Age 23 depressive symptoms,0.33290702377520653,-0.06150830143237465,0.02079594442393379,-0.02035617850422043,combined,precision_index,-0.02035617850422043,0.02099598108579297,-0.9695273786465036,0.33290702377520653,5666,Complete-case analysis on a common comparison sample
Age 23 loneliness,8.901890159657646e-11,-0.21515708701114497,-0.11748602949104162,-0.1663215582510933,combined,field_index,-0.1663215582510933,0.024916086102067178,-6.675268241158242,8.901890159657646e-11,7130,Complete-case analysis on a common comparison sample
Age 23 loneliness,0.006295794132356037,0.013027766530219469,0.07788032424176938,0.04545404538599442,combined,precision_index,0.04545404538599442,0.016544019824374978,2.747460766398812,0.006295794132356037,7130,Complete-case analysis on a common comparison sample
Age 23 wellbeing,1.0623083295236153e-25,0.21736903672494476,0.3085467362743317,0.26295788649963825,combined,field_index,0.26295788649963825,0.02325961723198647,11.305340233115286,1.0623083295236153e-25,7124,Complete-case analysis on a common comparison sample
Age 23 wellbeing,0.2578309902837277,-0.012834157519901801,0.04801885724403732,0.01759234986206776,combined,precision_index,0.01759234986206776,0.01552372825610692,1.1332554636253094,0.2578309902837277,7124,Complete-case analysis on a common comparison sample
