outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 14 MFQ depressive symptoms,0.00687850584928111,0.0165137652352993,0.10195196772377751,,combined,(Intercept),0.059232866479538404,0.02179545981848934,2.7176699630484733,0.00687850584928111,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.3441733692639586,-0.012813147439630315,0.036776893750780595,0.01198187315557514,combined,baseline_age_z,0.01198187315557514,0.012650520711839518,0.9471446613546431,0.3441733692639586,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,1.9627386058826236e-60,0.21755781095185203,0.2652673975153186,0.24141260423358532,combined,sex_z,0.24141260423358532,0.01217081289884351,19.835372233560893,1.9627386058826236e-60,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.41505088781205657,-0.03949528865833664,0.01627735635487011,-0.011608966151733267,combined,income_quintile_z,-0.011608966151733267,0.01422771556459356,-0.8159402750939727,0.41505088781205657,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.05274751300683953,-0.13531670389780937,5.851668272503635e-4,-0.0673657685352795,combined,sampling_stratumEngland - Disadvantaged,-0.0673657685352795,0.034668844572719314,-1.9431212480697777,0.05274751300683953,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.010668634290332768,-0.2087584262113987,-0.0279591311024035,-0.1183587786569011,combined,sampling_stratumEngland - Ethnic,-0.1183587786569011,0.04612226916045796,-2.566195913846618,0.010668634290332768,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.9478798340836644,-0.1203039656963373,0.1286112744699426,0.004153654386802655,combined,sampling_stratumWales - Advantaged,0.004153654386802655,0.06349878575670406,0.06541313093320246,0.9478798340836644,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.25760236331965475,-0.15122747546813636,0.04038556017098159,-0.05542095764857739,combined,sampling_stratumWales - Disadvantaged,-0.05542095764857739,0.048880876438550505,-1.133796316402972,0.25760236331965475,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.4878132101205831,-0.14077350628366428,0.06711397804108435,-0.03682976412128996,combined,sampling_stratumScotland - Advantaged,-0.03682976412128996,0.053032521511415465,-0.6944750706104404,0.4878132101205831,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.35806598029232073,-0.17143505026296207,0.06189210002915551,-0.054771475116903286,combined,sampling_stratumScotland - Disadvantaged,-0.054771475116903286,0.05952223221737694,-0.920185165718857,0.35806598029232073,8935,Complete-case analysis on a common comparison sample
