seed,fold_loss_trial,transition_trial,fold_to_transition_lag,maximum_one_trial_decline,maximum_ten_trial_decline,smoothed_80_to_20_duration
500,310,404,94,0.02349936477545933,0.11513441407294278,227.0
501,310,,,0.026310004535940235,0.059489945729733096,nan
502,310,346,36,0.02515436457090514,0.09485953340419251,285.0
503,310,317,7,0.02358551281610577,0.13131002939866632,87.0
504,310,422,112,0.024164027351308848,0.09660907728257984,nan
505,310,,,0.022139076161957316,0.049579318270877915,nan
506,310,,,0.02390978944783939,0.047388926815699395,nan
507,310,442,132,0.01983850325461156,0.09267306399985364,162.0
508,310,,,0.02497086126617587,0.062396929315908345,nan
509,310,406,96,0.022874523355153498,0.10019642016492858,nan
510,310,,,0.020815693666704882,0.048797123572222434,nan
511,310,553,243,0.018530174851447145,0.06772336167600457,nan
512,310,365,55,0.02405066529863409,0.10945812101198382,192.0
513,310,326,16,0.0229302851652049,0.13277260957827386,137.0
514,310,575,265,0.02437668190002773,0.06652970202830866,nan
515,310,477,167,0.025491593305356552,0.0715084953666194,nan
516,310,394,84,0.023867734629602677,0.09767396127149075,203.0
517,310,,,0.026022646749631617,0.05944879332185782,nan
518,310,512,202,0.023243023819531472,0.05808145337473103,nan
519,310,,,0.023052188513782434,0.04830667345885942,nan
520,310,481,171,0.02331121995946228,0.07083908258177873,nan
521,310,,,0.026510831777383892,0.031753404547768205,nan
522,310,534,224,0.017147101021793842,0.06785208227296091,nan
523,310,,,0.013441021259213037,0.027967425375891586,nan
524,310,500,190,0.026727609771551863,0.0682722735485024,nan
525,310,514,204,0.027323904241530528,0.0690338761261331,nan
526,310,539,229,0.02327881663683984,0.07749365758200066,nan
527,310,534,224,0.02618271627514046,0.07656159504846738,nan
528,310,532,222,0.025935446390150996,0.08036033564675871,nan
529,310,471,161,0.021016403381842408,0.0859609933974696,nan
530,310,,,0.0177958360890641,0.05541334608177584,nan
531,310,333,23,0.021779481931253675,0.12912991854215822,105.0
532,310,,,0.021588960766050103,0.024050992487423928,nan
533,310,,,0.025179923014888916,0.04118819015062758,nan
534,310,,,0.021842332806796594,0.04359085153330977,nan
535,310,468,158,0.027144972295572,0.09941042565396552,nan
536,310,353,43,0.02572065103618726,0.12486482763582185,283.0
537,310,349,39,0.023417319040124784,0.14105715016721315,104.0
538,310,,,0.02393007018286686,0.08838162187243015,nan
539,310,332,22,0.0233045992874511,0.09756390366313755,232.0
540,310,,,0.021842332806796594,0.06072150014765354,nan
541,310,,,0.024025549214997333,0.04145562387771595,nan
542,310,574,264,0.025935446390150996,0.057233276356568275,nan
543,310,420,110,0.025172000247634774,0.10455771870536312,nan
544,310,496,186,0.02143346009592184,0.06752979412078208,nan
545,310,,,0.026138426253416336,0.03721528761438675,nan
546,310,354,44,0.022677449770074243,0.14310592646613257,130.0
547,310,546,236,0.016131084127778306,0.06839142964769496,nan
548,310,,,0.026510831777383892,0.06709504759825613,nan
549,310,321,11,0.02484221210754578,0.10247527132759376,126.0
550,310,570,260,0.0142365627106249,0.06869511889263513,nan
551,310,344,34,0.024851695497338344,0.09800397145849526,265.0
552,310,,,0.015782609283322646,0.02266766385294816,nan
553,310,437,127,0.02376525519022865,0.09545485071384696,267.0
554,310,377,67,0.022810090153715046,0.11969363755823514,235.0
555,310,,,0.02379034992153628,0.056170809526408294,nan
556,310,,,0.021881673923706213,0.04024074848192727,nan
557,310,376,66,0.024851695497338344,0.1190731736358091,139.0
558,310,537,227,0.022884951089224392,0.06284554374760642,nan
