seed,floor_trial,verification_trial,intervention_trial,requested_post_verification_adverse_trials,actual_post_verification_trials,confirm_trials,p_engaged_at_intervention,mean_p_engaged_prior_confirmation_window,post_verification_proportion_p_below_0_5,order_parameter_z
130000,600,630,830,200,200,30,0.3341016549575582,0.3287192811887896,1.0,-0.0746987951807229
130001,600,630,830,200,200,30,0.3438407428047838,0.3390756693694548,1.0,-0.11325301204819277
130002,600,630,830,200,200,30,0.3597962066801198,0.3524999119611311,1.0,0.2819277108433735
130003,600,630,830,200,200,30,0.3756514366467224,0.3788506571000156,1.0,0.06506024096385542
130004,600,630,830,200,200,30,0.4102623174672092,0.42846333532638525,0.96,0.4771084337349398
130005,600,630,830,200,200,30,0.3047234659440556,0.30149040730253573,1.0,-0.24819277108433735
130006,600,630,830,200,200,30,0.41997121934397563,0.4226521988196401,1.0,0.28433734939759037
130007,600,630,830,200,200,30,0.3525246049974338,0.35009718236375714,1.0,0.0891566265060241
130008,600,630,830,200,200,30,0.4188226534876344,0.42118517316935183,1.0,0.021686746987951807
130009,600,630,830,200,200,30,0.40166551891437,0.4008934739670777,1.0,0.06746987951807229
130010,600,630,830,200,200,30,0.4121387563998535,0.4201890670140166,1.0,0.2674698795180723
130011,600,630,830,200,200,30,0.41832958568015083,0.4166521241553286,1.0,-0.21445783132530122
130012,600,630,830,200,200,30,0.38866162889815425,0.390366574242588,1.0,0.17349397590361446
130013,600,630,830,200,200,30,0.3412151725450054,0.34229650559096464,1.0,0.29397590361445786
130014,600,630,830,200,200,30,0.43476655207027676,0.45084055244427296,1.0,0.21686746987951808
130015,600,630,830,200,200,30,0.41117194940793256,0.41665805649110227,1.0,0.3421686746987952
130016,600,1183,1383,200,200,30,0.44949488831495477,0.45028560263307066,1.0,0.3232104121475054
130017,600,630,830,200,200,30,0.3477584626316734,0.3468368506139701,1.0,0.05542168674698795
130018,600,630,830,200,200,30,0.38754909030932255,0.4013856824756445,1.0,0.3060240963855422
130019,600,630,830,200,200,30,0.33195134525520265,0.3291606333051765,1.0,-0.42650602409638555
130020,600,630,830,200,200,30,0.3357681620065282,0.3392276735378392,1.0,-0.19759036144578312
130021,600,630,830,200,200,30,0.4475521898609878,0.44360797974075133,1.0,0.42650602409638555
130022,600,630,830,200,200,30,0.3823993315663918,0.3801046873526278,1.0,0.21686746987951808
130023,600,630,830,200,200,30,0.3658662934067861,0.3618231144492393,1.0,0.13975903614457832
130024,600,630,830,200,200,30,0.43967398250042894,0.4447637741879926,1.0,0.4530120481927711
130025,600,630,830,200,200,30,0.3319414837949024,0.3259168029882511,1.0,-0.1686746987951807
130026,600,630,830,200,200,30,0.4455708709526464,0.44935672366204016,1.0,0.3325301204819277
130027,600,630,830,200,200,30,0.37824220280059645,0.37400926148873376,1.0,0.27710843373493976
130028,600,630,830,200,200,30,0.30355377908808795,0.303366277488522,1.0,-0.19036144578313252
130029,600,630,830,200,200,30,0.33672902018112644,0.3489071323806504,1.0,-0.42409638554216866
130030,600,630,830,200,200,30,0.36103163347575984,0.35489606515302313,1.0,0.35180722891566263
130031,600,630,830,200,200,30,0.4659192147642047,0.46151094267011145,1.0,0.19036144578313252
130032,600,630,830,200,200,30,0.40781598044623524,0.4154087101274724,1.0,0.3397590361445783
130033,600,717,917,200,200,30,0.4405811025411438,0.4552130953970759,1.0,0.0861504907306434
130034,600,684,884,200,200,30,0.4513986498149947,0.4500729917457696,1.0,0.49547511312217196
130035,600,630,830,200,200,30,0.38170684948361605,0.3835238242644911,1.0,0.13012048192771083
130036,600,630,830,200,200,30,0.36844776270547647,0.3576733419958611,1.0,0.1927710843373494
130037,600,630,830,200,200,30,0.38089687499659075,0.38026596656853934,1.0,-0.043373493975903614
130038,600,630,830,200,200,30,0.30253904058826886,0.30278124497167713,1.0,-0.05301204819277108
130039,600,630,830,200,200,30,0.3814201441191101,0.38477552190430003,1.0,0.4578313253012048
130040,600,630,830,200,200,30,0.38762755952796135,0.3944089236420119,1.0,-0.26024096385542167
130041,600,630,830,200,200,30,0.42999458074004043,0.41891777711540484,1.0,0.1855421686746988
130042,600,963,1173,200,210,30,0.4896005364287436,0.49970734447710774,0.9,-0.00937766410912191
130043,600,630,830,200,200,30,0.395183214476737,0.40344694630647493,1.0,0.1180722891566265
130044,600,630,830,200,200,30,0.4126701261286055,0.42010257527324796,1.0,0.2746987951807229
130045,600,630,830,200,200,30,0.3568288421672868,0.36409690271413997,1.0,0.004819277108433735
130046,600,630,830,200,200,30,0.42453312898241125,0.4270373722386142,1.0,0.46265060240963857
130047,600,630,830,200,200,30,0.34969843026070163,0.3571239516735109,1.0,-0.3253012048192771
130048,600,630,830,200,200,30,0.2743107606856893,0.2744789172934619,1.0,0.04578313253012048
130049,600,630,830,200,200,30,0.352908919032103,0.34780919210321404,1.0,-0.05301204819277108
130050,600,630,830,200,200,30,0.367535621618708,0.36653815159341685,1.0,0.24819277108433735
130051,600,630,830,200,200,30,0.3907073290593065,0.4007016716952624,1.0,0.25301204819277107
130052,600,630,830,200,200,30,0.27395633153504767,0.2731053372216808,1.0,-0.42168674698795183
130053,600,630,830,200,200,30,0.3066866934303103,0.3037052651407394,1.0,0.03132530120481928
130054,600,630,830,200,200,30,0.3820506307653902,0.378000660192877,1.0,-0.327710843373494
130055,600,630,830,200,200,30,0.4237870193865058,0.4230381119310225,1.0,0.39518072289156625
130056,600,630,830,200,200,30,0.473093891904981,0.47148907215377617,0.99,0.41445783132530123
130057,600,630,830,200,200,30,0.43921185975995436,0.4447735866025616,1.0,0.12530120481927712
130058,600,630,830,200,200,30,0.33225694210112117,0.32641369188509123,1.0,0.2433734939759036
130059,600,630,830,200,200,30,0.3525612819332872,0.3529155302549068,1.0,-0.14457831325301204
130060,600,630,830,200,200,30,0.3272089311452116,0.3310655325653425,1.0,0.39759036144578314
130061,600,630,830,200,200,30,0.3543927223498874,0.34517485332706566,1.0,0.41927710843373495
130062,600,630,830,200,200,30,0.4589947974921365,0.4509462371677618,1.0,0.1927710843373494
130063,600,630,830,200,200,30,0.44510401950548334,0.45961801473139763,1.0,0.4
130064,600,683,883,200,200,30,0.42364205774382513,0.4279294488303706,1.0,0.35447338618346547
130065,600,630,830,200,200,30,0.3255060079024869,0.3241916556737537,1.0,-0.1783132530120482
130066,600,630,830,200,200,30,0.37577067612018866,0.38691962074223146,1.0,0.14698795180722893
130067,600,630,830,200,200,30,0.36081460713543345,0.3723889808931877,1.0,0.22650602409638554
130068,600,630,830,200,200,30,0.36237272105434076,0.3692860777923391,1.0,0.19759036144578312
130069,600,630,830,200,200,30,0.29569163307890745,0.29794949798174203,1.0,0.016867469879518072
130070,600,630,830,200,200,30,0.3338674786204631,0.33762723148565793,1.0,0.2746987951807229
130071,600,630,830,200,200,30,0.34323152823909997,0.3378015384134782,1.0,-0.03132530120481928
130072,600,630,830,200,200,30,0.3078248457506732,0.3036677685572306,1.0,-0.1108433734939759
130073,600,630,830,200,200,30,0.3113090494982677,0.3117558611386349,1.0,-0.5349397590361445
130074,600,630,830,200,200,30,0.456719822146746,0.4500636111307947,1.0,0.29397590361445786
130075,600,630,830,200,200,30,0.32493731692368344,0.31368338150967084,1.0,0.27951807228915665
130076,600,661,861,200,200,30,0.4921473110936096,0.4857548434277794,0.5,0.3635307781649245
130077,600,630,830,200,200,30,0.35861995420196946,0.35913566515420015,1.0,-0.08674698795180723
130078,600,864,1064,200,200,30,0.4559701055651346,0.4576406502274854,1.0,0.22932330827067668
130079,600,630,881,200,251,30,0.4858970663645166,0.4994455901873481,0.22310756972111553,0.38024971623155507
130080,600,630,830,200,200,30,0.30410552202536967,0.31064110132010114,1.0,0.02891566265060241
130081,600,638,838,200,200,30,0.4427390464968275,0.45023210746334447,1.0,0.3054892601431981
130082,600,630,830,200,200,30,0.4236654689246647,0.4409768919121778,0.95,0.45542168674698796
130083,600,630,830,200,200,30,0.36582355923625764,0.36571711794282213,1.0,0.007228915662650603
130084,600,630,830,200,200,30,0.31137906487602207,0.30987551018703535,1.0,0.15180722891566265
130085,600,630,830,200,200,30,0.41517340901997274,0.41859675404336777,1.0,0.3686746987951807
130086,600,630,830,200,200,30,0.4256040042489424,0.4267110611671245,1.0,0.24819277108433735
130087,600,630,830,200,200,30,0.3877433361511173,0.39016999421059395,1.0,0.25301204819277107
130088,600,630,830,200,200,30,0.369125421332054,0.3688771686182834,1.0,0.1783132530120482
130089,600,630,830,200,200,30,0.407765482633641,0.407241600976488,1.0,0.41927710843373495
130090,600,630,830,200,200,30,0.3837890097305808,0.37995152099026114,1.0,-0.09156626506024096
130091,600,630,830,200,200,30,0.3877116127056407,0.3949070370142855,1.0,0.25783132530120484
130092,600,850,1050,200,200,30,0.471673891943558,0.4620286127989642,1.0,0.25333333333333335
130093,600,630,830,200,200,30,0.28970829190435154,0.29666760945831816,1.0,-0.6433734939759036
130094,600,630,830,200,200,30,0.3940196885185125,0.3951328528503453,1.0,0.21927710843373494
130095,600,630,830,200,200,30,0.36806440305584526,0.3660886173912621,1.0,-0.08674698795180723
130096,600,630,830,200,200,30,0.4025798064088909,0.4066153943141587,1.0,0.3325301204819277
130097,600,630,830,200,200,30,0.4057652768332912,0.40000600195676567,1.0,0.363855421686747
130098,600,630,830,200,200,30,0.3942569766026742,0.3900685572219479,1.0,0.3132530120481928
130099,600,630,830,200,200,30,0.4220593198573305,0.4019299494658451,1.0,0.30120481927710846
130100,600,630,830,200,200,30,0.3760558406285464,0.37618695941822017,1.0,-0.5710843373493976
130101,600,630,830,200,200,30,0.3216839716169619,0.3287084729352102,1.0,-0.20240963855421687
130102,600,630,830,200,200,30,0.4153922101747903,0.4179190557979882,1.0,0.23373493975903614
130103,600,630,830,200,200,30,0.3448279667170051,0.3323577500257171,1.0,0.30120481927710846
130104,600,630,830,200,200,30,0.3539521124441605,0.3604267384599225,1.0,-0.04819277108433735
130105,600,630,830,200,200,30,0.33935430732263533,0.33675999319206745,1.0,-0.25060240963855424
130106,600,630,830,200,200,30,0.32407613034330435,0.3195847843342625,1.0,-0.2216867469879518
130107,600,630,830,200,200,30,0.3568686650668836,0.3593747973562527,1.0,-0.26265060240963856
130108,600,630,830,200,200,30,0.38275126944956167,0.38725201820734756,1.0,0.14457831325301204
130109,600,630,830,200,200,30,0.34663175132565444,0.3550721439414605,1.0,-0.024096385542168676
130110,600,630,830,200,200,30,0.3744720812219617,0.3760650901329033,1.0,0.0891566265060241
130111,600,630,830,200,200,30,0.38334007036535517,0.37875973432149235,1.0,0.24096385542168675
130112,600,630,830,200,200,30,0.3779744350086524,0.3804494984333406,1.0,-0.2987951807228916
130113,600,630,830,200,200,30,0.3686336087026922,0.37523307629254243,1.0,0.2891566265060241
130114,600,630,830,200,200,30,0.29722856797042924,0.29015621017022186,1.0,-0.7036144578313253
130115,600,630,830,200,200,30,0.3201821515015698,0.3104049175280155,1.0,0.2987951807228916
130116,600,630,830,200,200,30,0.3071770036201611,0.3128470211464862,1.0,0.29397590361445786
130117,600,630,830,200,200,30,0.33429410479358085,0.31994506798091016,1.0,0.3228915662650602
130118,600,630,830,200,200,30,0.2915222191357984,0.2836726078541905,1.0,-0.327710843373494
130119,600,630,830,200,200,30,0.35154361454505334,0.3450982263800567,1.0,-0.4963855421686747
130120,600,669,869,200,200,30,0.41939559479521155,0.41820779310673895,1.0,0.4223245109321059
130121,600,630,830,200,200,30,0.4205434013411908,0.4206525184707095,1.0,0.15903614457831325
130122,600,630,830,200,200,30,0.46709584612211935,0.4634864197579008,1.0,0.12771084337349398
130123,600,630,830,200,200,30,0.3674909461454726,0.3715667556774921,1.0,-0.40481927710843374
130124,600,630,830,200,200,30,0.39047735444743237,0.3948023009367076,1.0,0.2216867469879518
130125,600,630,830,200,200,30,0.3378638956762544,0.337225375251189,1.0,0.09397590361445783
130126,600,630,830,200,200,30,0.39502111309574844,0.3958307878572446,1.0,0.021686746987951807
130127,600,630,830,200,200,30,0.3897184488813213,0.3822329656261319,1.0,-0.5012048192771085
130128,600,630,830,200,200,30,0.33411787320157055,0.3318550835465075,1.0,-0.42409638554216866
130129,600,630,830,200,200,30,0.3091542273134365,0.2983269711476044,1.0,-0.6385542168674698
130130,600,630,830,200,200,30,0.3660767471634831,0.3704515173023638,1.0,0.3228915662650602
130131,600,630,830,200,200,30,0.44362924680513954,0.43275182151388536,1.0,0.2987951807228916
