seed,condition,gamma_restored,delta_c_restored,post_verification_adverse_trials,late_p_engaged
130000,Control,5.0,-0.15,200,0.3583023258758946
130000,Restore gamma only,16.0,-0.15,200,0.12596731785606607
130000,Restore delta_c only,5.0,0.15,200,0.6169178767920365
130000,Restore both,16.0,0.15,200,0.8426362255434354
130001,Control,5.0,-0.15,200,0.3625579675868586
130001,Restore gamma only,16.0,-0.15,200,0.14970676042223185
130001,Restore delta_c only,5.0,0.15,200,0.6136313081331175
130001,Restore both,16.0,0.15,200,0.7862649074397393
130002,Control,5.0,-0.15,200,0.3618698156144039
130002,Restore gamma only,16.0,-0.15,200,0.14804126789931635
130002,Restore delta_c only,5.0,0.15,200,0.6263815249412922
130002,Restore both,16.0,0.15,200,0.809096324807798
130003,Control,5.0,-0.15,200,0.4113080964167597
130003,Restore gamma only,16.0,-0.15,200,0.30225948553443005
130003,Restore delta_c only,5.0,0.15,200,0.6497174038080555
130003,Restore both,16.0,0.15,200,0.8349355437868979
130004,Control,5.0,-0.15,200,0.38183040603933216
130004,Restore gamma only,16.0,-0.15,200,0.17539397599587428
130004,Restore delta_c only,5.0,0.15,200,0.6628071273177791
130004,Restore both,16.0,0.15,200,0.8652907274756378
130005,Control,5.0,-0.15,200,0.3145898154609
130005,Restore gamma only,16.0,-0.15,200,0.10943540607489241
130005,Restore delta_c only,5.0,0.15,200,0.5788837712561811
130005,Restore both,16.0,0.15,200,0.7108009808063561
130006,Control,5.0,-0.15,200,0.3892468316483675
130006,Restore gamma only,16.0,-0.15,200,0.1839237029305304
130006,Restore delta_c only,5.0,0.15,200,0.6756263739867953
130006,Restore both,16.0,0.15,200,0.9102426327009431
130007,Control,5.0,-0.15,200,0.3748762217418388
130007,Restore gamma only,16.0,-0.15,200,0.13536976020970928
130007,Restore delta_c only,5.0,0.15,200,0.6216910538472695
130007,Restore both,16.0,0.15,200,0.8433000891158557
130008,Control,5.0,-0.15,200,0.4425964940212914
130008,Restore gamma only,16.0,-0.15,200,0.37378513296458843
130008,Restore delta_c only,5.0,0.15,200,0.6816503497733026
130008,Restore both,16.0,0.15,200,0.9021871829920043
130009,Control,5.0,-0.15,200,0.4225928966072836
130009,Restore gamma only,16.0,-0.15,200,0.24874036664408872
130009,Restore delta_c only,5.0,0.15,200,0.6713716151884956
130009,Restore both,16.0,0.15,200,0.8989376957084866
130010,Control,5.0,-0.15,200,0.4272205375385411
130010,Restore gamma only,16.0,-0.15,200,0.2634376925547744
130010,Restore delta_c only,5.0,0.15,200,0.6516628252627007
130010,Restore both,16.0,0.15,200,0.8828449488063157
130011,Control,5.0,-0.15,200,0.4364873919220188
130011,Restore gamma only,16.0,-0.15,200,0.23377891825101785
130011,Restore delta_c only,5.0,0.15,200,0.6802081130874005
130011,Restore both,16.0,0.15,200,0.929138997113962
130012,Control,5.0,-0.15,200,0.3804493139777202
130012,Restore gamma only,16.0,-0.15,200,0.21055031757485632
130012,Restore delta_c only,5.0,0.15,200,0.6494456060549167
130012,Restore both,16.0,0.15,200,0.8358054054475857
130013,Control,5.0,-0.15,200,0.31361473251496724
130013,Restore gamma only,16.0,-0.15,200,0.08686883749112222
130013,Restore delta_c only,5.0,0.15,200,0.5822634498068642
130013,Restore both,16.0,0.15,200,0.7550401629102892
130014,Control,5.0,-0.15,200,0.4157028377940445
130014,Restore gamma only,16.0,-0.15,200,0.2704769089402713
130014,Restore delta_c only,5.0,0.15,200,0.6906477630575651
130014,Restore both,16.0,0.15,200,0.9302327142541397
130015,Control,5.0,-0.15,200,0.39316034947956163
130015,Restore gamma only,16.0,-0.15,200,0.18680166609565613
130015,Restore delta_c only,5.0,0.15,200,0.6442914832436868
130015,Restore both,16.0,0.15,200,0.8763670788153844
130016,Control,5.0,-0.15,200,0.45034285546190317
130016,Restore gamma only,16.0,-0.15,200,0.35245793941955844
130016,Restore delta_c only,5.0,0.15,200,0.687929914897387
130016,Restore both,16.0,0.15,200,0.9216584130608579
130017,Control,5.0,-0.15,200,0.34210994049559035
130017,Restore gamma only,16.0,-0.15,200,0.10442581908825757
130017,Restore delta_c only,5.0,0.15,200,0.614534588670178
130017,Restore both,16.0,0.15,200,0.8154199242828695
130018,Control,5.0,-0.15,200,0.4030915751647335
130018,Restore gamma only,16.0,-0.15,200,0.23739271858982133
130018,Restore delta_c only,5.0,0.15,200,0.653349799527946
130018,Restore both,16.0,0.15,200,0.8439061871507996
130019,Control,5.0,-0.15,200,0.4001339456310559
130019,Restore gamma only,16.0,-0.15,200,0.22269060658820244
130019,Restore delta_c only,5.0,0.15,200,0.6515344051525475
130019,Restore both,16.0,0.15,200,0.8654127817935208
130020,Control,5.0,-0.15,200,0.31721653544794093
130020,Restore gamma only,16.0,-0.15,200,0.08837793643709402
130020,Restore delta_c only,5.0,0.15,200,0.6053164663004905
130020,Restore both,16.0,0.15,200,0.8090634678411529
130021,Control,5.0,-0.15,200,0.4210768919731839
130021,Restore gamma only,16.0,-0.15,200,0.2425788429744213
130021,Restore delta_c only,5.0,0.15,200,0.6573181864075534
130021,Restore both,16.0,0.15,200,0.9154010977334245
130022,Control,5.0,-0.15,200,0.3520907784951502
130022,Restore gamma only,16.0,-0.15,200,0.11437756937888263
130022,Restore delta_c only,5.0,0.15,200,0.6044313582518361
130022,Restore both,16.0,0.15,200,0.8131041323238776
130023,Control,5.0,-0.15,200,0.36762862234104515
130023,Restore gamma only,16.0,-0.15,200,0.1469914541111517
130023,Restore delta_c only,5.0,0.15,200,0.6284798359296296
130023,Restore both,16.0,0.15,200,0.8482910182394278
130024,Control,5.0,-0.15,200,0.37726864635466845
130024,Restore gamma only,16.0,-0.15,200,0.17807683300376884
130024,Restore delta_c only,5.0,0.15,200,0.648841261331064
130024,Restore both,16.0,0.15,200,0.9168710936078313
130025,Control,5.0,-0.15,200,0.3474404831149933
130025,Restore gamma only,16.0,-0.15,200,0.07416325468582748
130025,Restore delta_c only,5.0,0.15,200,0.5714863474410049
130025,Restore both,16.0,0.15,200,0.7043541707145503
130026,Control,5.0,-0.15,200,0.4020162135223015
130026,Restore gamma only,16.0,-0.15,200,0.2270523764820732
130026,Restore delta_c only,5.0,0.15,200,0.6567562100206952
