condition,eta_eng,eta_wdr,post_verification_adverse_trials,n_agents,median,q1,q3,mean,sd,proportion_above_0_5
Permanent evidence,1.0,1.0,0,200,0.8561267271427011,0.8058154393612913,0.9053905452887169,0.8398232164773657,0.09349862309118184,0.99
Permanent evidence,1.0,1.0,50,200,0.8536988718242114,0.7962012941397181,0.904297452704112,0.8387033211891599,0.08788411536255827,0.995
Permanent evidence,1.0,1.0,100,200,0.8582056801007357,0.7990953019158377,0.902025481014303,0.8380991424759838,0.08411807254105086,1.0
Permanent evidence,1.0,1.0,200,200,0.8556511586738023,0.8023434970608305,0.8919983229918008,0.8362330623658426,0.08027922077810332,1.0
Permanent evidence,1.0,1.0,400,200,0.8486074645086776,0.7986301080435473,0.8883657488323327,0.8361253966822089,0.07203482241546307,1.0
Symmetric decay,0.992,0.992,0,200,0.914189087051072,0.7818301306585209,0.9642582376114767,0.8449906118314129,0.17054908884181988,0.94
Symmetric decay,0.992,0.992,50,200,0.9253157247205825,0.7944711780128312,0.9715161875335898,0.8517362179293451,0.16704456351313446,0.94
Symmetric decay,0.992,0.992,100,200,0.9169419515460389,0.7886617244993013,0.9656148354498337,0.8457578015510204,0.17033704919679019,0.94
Symmetric decay,0.992,0.992,200,200,0.9141665409582747,0.7933065082451002,0.9652467724669322,0.8560074915759253,0.1461816737182311,0.96
Symmetric decay,0.992,0.992,400,200,0.9182381164040221,0.8229654833873933,0.9591678834302306,0.8704082895752484,0.12270749605296644,0.985
Asymmetric mild,0.99,0.997,0,200,0.8298092319807222,0.7091580519446887,0.9015667770865036,0.7853786720981158,0.16073281513503115,0.935
Asymmetric mild,0.99,0.997,50,200,0.8211713777637264,0.7082390906698572,0.8904143363719742,0.7741433937922602,0.1595946980204285,0.93
Asymmetric mild,0.99,0.997,100,200,0.821500941852503,0.6960364574427587,0.8972361957534548,0.7802146906144342,0.15374771419174876,0.94
Asymmetric mild,0.99,0.997,200,200,0.8320303339395416,0.7093084104960414,0.9093059191980181,0.7906384977037265,0.15074197107178416,0.95
Asymmetric mild,0.99,0.997,400,200,0.8294178620966026,0.7266599355291354,0.9007392778700525,0.7886284863063964,0.15727249706731325,0.95
Asymmetric strong,0.985,0.997,0,200,0.7986169951428369,0.65290528423685,0.8881577256862324,0.7490209509341025,0.19063128804659302,0.905
Asymmetric strong,0.985,0.997,50,200,0.8068170118195483,0.6708201044054991,0.8971187618923304,0.7533566046606327,0.20001140898424402,0.9
Asymmetric strong,0.985,0.997,100,200,0.805012250833852,0.6766417843323749,0.9023517268701566,0.7531650904945844,0.20273014667871933,0.88
Asymmetric strong,0.985,0.997,200,200,0.8295451304763071,0.7046706705289214,0.9018442630691255,0.7615139285420125,0.20090940618558473,0.895
Asymmetric strong,0.985,0.997,400,200,0.8149243842497327,0.6890862751123035,0.8972827292811375,0.7661248300938119,0.17300188774511518,0.925
