condition,eta_eng,eta_wdr,post_verification_adverse_trials,n_agents_per_grid_cell,min_restored_delta_c
Symmetric decay,0.992,0.992,0,120,0.015
Symmetric decay,0.992,0.992,50,120,0.02
Symmetric decay,0.992,0.992,100,120,0.005
Symmetric decay,0.992,0.992,200,120,0.0
Symmetric decay,0.992,0.992,400,120,0.01
Asymmetric mild,0.99,0.997,0,120,0.06
Asymmetric mild,0.99,0.997,50,120,0.055
Asymmetric mild,0.99,0.997,100,120,0.05
Asymmetric mild,0.99,0.997,200,120,0.02
Asymmetric mild,0.99,0.997,400,120,0.035
Asymmetric strong,0.985,0.997,0,120,0.06
Asymmetric strong,0.985,0.997,50,120,0.06
Asymmetric strong,0.985,0.997,100,120,0.045
Asymmetric strong,0.985,0.997,200,120,0.04
Asymmetric strong,0.985,0.997,400,120,0.04
